Time [s] 	setpoints.setpoint [C]
0	20
600	20
1200	20
1800	20
2400	20
3000	20
3600	20
4200	20
4800	20
5400	20
6000	20
6600	20
7200	20
7800	20
8400	20
9000	20
9600	20
10200	20
10800	20
11400	20
12000	20
12600	20
13200	20
13800	20
14400	20
15000	20
15600	20
16200	20
16800	20
17400	20
18000	20
18600	20
19200	20
19800	20
20400	20
21000	20
21600	20
22200	20
22800	20
23400	20
24000	20
24600	20
25200	20
25800	20
26400	20
27000	20
27600	20
28200	20
28800	20
29400	20
30000	20
30600	20
31200	20
31800	20
32400	20
33000	20
33600	20
34200	20
34800	20
35400	20
36000	20
36600	20
37200	20
37800	20
38400	20
39000	20
39600	20
40200	20
40800	20
41400	20
42000	20
42600	20
43200	20
43800	20
44400	20
45000	20
45600	20
46200	20
46800	20
47400	20
48000	20
48600	20
49200	20
49800	20
50400	20
51000	20
51600	20
52200	20
52800	20
53400	20
54000	20
54600	20
55200	20
55800	20
56400	20
57000	20
57600	20
58200	20
58800	20
59400	20
60000	20
60600	20
61200	20
61800	20
62400	20
63000	20
63600	20
64200	20
64800	20
65400	20
66000	20
66600	20
67200	20
67800	20
68400	20
69000	20
69600	20
70200	20
70800	20
71400	20
72000	20
72600	20
73200	20
73800	20
74400	20
75000	20
75600	20
76200	20
76800	20
77400	20
78000	20
78600	20
79200	20
79800	20
80400	20
81000	20
81600	20
82200	20
82800	20
83400	20
84000	20
84600	20
85200	20
85800	20
86400	20
87000	20
87600	20
88200	20
88800	20
89400	20
90000	20
90600	20
91200	20
91800	20
92400	20
93000	20
93600	20
94200	20
94800	20
95400	20
96000	20
96600	20
97200	20
97800	20
98400	20
99000	20
99600	20
100200	20
100800	20
101400	20
102000	20
102600	20
103200	20
103800	20
104400	20
105000	20
105600	20
106200	20
106800	20
107400	20
108000	20
108600	20
109200	20
109800	20
110400	20
111000	20
111600	20
112200	20
112800	20
113400	20
114000	20
114600	20
115200	20
115800	20
116400	20
117000	20
117600	20
118200	20
118800	20
119400	20
120000	20
120600	20
121200	20
121800	20
122400	20
123000	20
123600	20
124200	20
124800	20
125400	20
126000	20
126600	20
127200	20
127800	20
128400	20
129000	20
129600	20
130200	20
130800	20
131400	20
132000	20
132600	20
133200	20
133800	20
134400	20
