Elapsed time [s]	Building heat demand [W]
0	6717.009277
600	5563.949219
1200	5396.577637
1800	5287.725098
2400	5213.000488
3000	5160.500977
3600	5123.58252
4200	5097.736328
4800	5079.644531
5400	5067.336914
6000	5059.367188
6600	5054.684082
7200	5052.505371
7800	5052.609863
8400	5054.836914
9000	5058.37207
9600	5062.307129
10200	5065.671875
10800	5067.507813
11400	5067.645508
12000	5066.757324
12600	5065.016602
13200	5062.611816
13800	5059.750488
14400	5056.649902
15000	5053.570313
15600	5050.592773
16200	5047.582031
16800	5044.293945
17400	5040.50293
18000	5035.993652
18600	5030.572754
19200	5024.166504
19800	5016.862305
20400	5008.845215
21000	5000.394043
21600	4991.860352
22200	4983.523438
22800	4975.380859
23400	4967.250488
24000	4958.910156
24600	4950.160645
25200	2470.430664
25800	0
26400	0
27000	0
27600	0
28200	0
28800	0
29400	0
30000	0
30600	0
31200	0
31800	0
32400	0
33000	0
33600	0
34200	0
34800	0
35400	0
36000	0
36600	0
37200	0
37800	0
38400	0
39000	0
39600	0
40200	0
40800	0
41400	0
42000	0
42600	0
43200	0
43800	0
44400	0
45000	0
45600	0
46200	0
46800	0
47400	0
48000	0
48600	0
49200	0
49800	0
50400	0
51000	0
51600	0
52200	0
52800	0
53400	0
54000	0
54600	0
55200	0
55800	0
56400	0
57000	0
57600	0
58200	0
58800	0
59400	0
60000	0
60600	0
61200	9673.639648
61800	10636.17285
62400	10598.3125
63000	10594.72363
63600	10597.47559
64200	10603.76367
64800	10615.6377
65400	10623.76367
66000	10636.30176
66600	10649.97363
67200	10664.50586
67800	10679.69922
68400	10695.4082
69000	10711.5459
69600	10728.04297
70200	10219.69434
70800	10117.55469
71400	9848.545898
72000	9602.893555
72600	9376.174805
73200	9165.06543
73800	8967.515625
74400	8782.032227
75000	8607.423828
75600	8442.990234
76200	8288.051758
76800	8141.524414
77400	8002.691895
78000	7870.975098
78600	7745.851563
79200	8781.285156
79800	9935.661133
80400	9935.661133
81000	6392.057129
81600	6082.670898
82200	5836.952148
82800	5635.826172
83400	5467.837891
84000	5325.361816
84600	5202.717773
85200	5095.87207
85800	5001.862793
86400	4918.434082
87000	4843.980469
87600	4777.17627
88200	4716.601563
88800	4661.008301
89400	4609.335938
90000	4560.674316
90600	4514.633301
91200	4471.154297
91800	4429.791992
92400	4390.040039
93000	4351.360352
93600	4313.197754
94200	4412.828613
94800	4440.653809
95400	4452.571777
96000	4462.382324
96600	4471.342285
97200	4480.568848
97800	4491.003418
98400	4502.741699
99000	4515.350586
99600	4528.318359
100200	4541.092285
100800	4552.995117
101400	4564.824219
102000	4577.815918
102600	4592.143555
103200	4607.723633
103800	4623.154297
104400	4638.04248
105000	4652.272461
105600	4666.018555
106200	4679.388672
106800	4692.496582
107400	4705.518066
108000	4718.708984
108600	4731.63916
109200	4743.38623
109800	4753.946289
110400	4763.648926
111000	4773.233398
111600	2391.95752
112200	0
112800	0
113400	0
114000	0
114600	0
115200	0
115800	0
116400	0
117000	0
117600	0
118200	0
118800	0
119400	0
120000	0
120600	0
121200	0
121800	0
122400	0
123000	0
123600	0
124200	0
124800	0
125400	0
126000	0
126600	0
127200	0
127800	0
128400	0
129000	0
129600	0
130200	0
130800	0
131400	0
132000	0
132600	0
133200	0
133800	0
134400	0
135000	0
135600	0
136200	0
136800	0
137400	0
138000	0
138600	0
139200	0
139800	0
140400	0
141000	0
141600	0
142200	0
142800	0
143400	0
144000	0
144600	0
145200	0
145800	0
146400	0
147000	0
147600	9673.639648
148200	14900.31152
148800	12682.92188
149400	12563.20117
150000	12481.62598
150600	12421.74219
151200	12377.43164
151800	12344.57324
152400	12320.12891
153000	12301.97559
153600	12288.62305
154200	12279.00488
154800	12272.35938
155400	12267.64551
156000	12263.87988
156600	12260.85938
157200	12258.53711
157800	11794.49805
158400	11525.01953
159000	11279.48438
159600	11053.66797
160200	10844.55664
160800	10649.84082
161400	10467.69238
162000	10296.69141
162600	10135.60645
163200	9983.317383
163800	9838.958008
164400	9701.791016
165000	9571.229492
165600	9691.244141
166200	9935.661133
166800	9935.661133
167400	8397.923828
168000	7694.171387
168600	7391.166016
169200	7143.925781
169800	6934.662109
170400	6751.254883
171000	6587.529297
171600	6440.041992
172200	6307.108398
172800	6188.320313
173400	6081.714844
174000	5983.591797
174600	5892.45459
175200	5807.197754
175800	5961.48877
176400	5951.536621
177000	5940.69873
177600	5931.049805
178200	5922.546387
178800	5914.672363
179400	5906.713867
180000	5897.880371
180600	5888.330078
181200	5878.671875
181800	5868.548828
182400	5857.687988
183000	5845.938965
183600	5833.316895
184200	5821.064941
184800	5810.313477
185400	5801.183105
186000	5793.339844
186600	5786.879883
187200	5780.472656
187800	5772.583496
188400	5763.183594
189000	5752.677734
189600	5741.771484
190200	5731.38623
190800	5722.587891
191400	5716.540039
192000	5713.289063
192600	5712.021973
193200	5711.766602
193800	5711.461914
194400	5709.995117
195000	5706.836914
195600	5702.465332
196200	5697.147461
196800	5691.144531
197400	5684.699707
198000	2838.996582
198600	0
199200	0
199800	0
200400	0
201000	0
201600	0
202200	0
202800	0
203400	0
204000	0
204600	0
205200	0
205800	0
206400	0
207000	0
207600	0
208200	0
208800	0
209400	0
210000	0
210600	0
211200	0
211800	0
212400	0
213000	0
213600	0
214200	0
214800	0
215400	0
216000	0
216600	0
217200	0
217800	0
218400	0
219000	0
219600	0
220200	0
220800	0
221400	0
222000	0
222600	0
223200	0
223800	0
224400	0
225000	0
225600	0
226200	0
226800	0
227400	0
228000	0
228600	0
229200	0
229800	0
230400	0
231000	0
231600	0
232200	0
232800	0
233400	0
234000	9673.639648
234600	19347.2793
235200	13089.87793
235800	12933.41113
236400	12824.09375
237000	12741.11133
237600	12676.88184
238200	12626.30078
238800	12585.78223
239400	12552.87891
240000	12525.93457
240600	12503.8584
241200	12485.97363
241800	12471.63379
242400	12460.03516
243000	12450.64941
243600	12443.0498
244200	12436.92383
244800	12432.02637
245400	11910.72559
246000	11656.27344
246600	11424.55957
247200	11211.29199
247800	11012.5791
248400	10824.8125
249000	10643.92773
249600	10467.58008
250200	10296.27832
250800	10131.18359
251400	9974.006836
252000	9881.222656
252600	9935.661133
253200	9935.661133
253800	9935.661133
254400	7836.59082
255000	7528.594727
255600	7276.51123
256200	7062.934082
256800	6877.600098
257400	6714.016113
258000	6568.222168
258600	6437.919922
259200	6322.025879
259800	6218.42041
260400	6361.179688
261000	6360.522949
261600	6352.662598
262200	6344.894531
262800	6337.718262
263400	6332.07373
264000	6328.811035
264600	6327.294434
265200	6326.554688
265800	6325.382324
266400	6322.414551
267000	6317.814453
267600	6313.161621
268200	6308.692871
268800	6304.532227
269400	6300.603516
270000	6297.06543
270600	6295.123047
271200	6295.669922
271800	6297.828613
272400	6300.488281
273000	6302.797852
273600	6303.555176
274200	6302.790039
274800	6302.166992
275400	6301.825195
276000	6301.437012
276600	6300.419434
277200	6298.516602
277800	6295.658691
278400	6291.830566
279000	6287.148438
279600	6281.740723
280200	6275.729004
280800	6269.213867
281400	6262.695801
282000	6256.638672
282600	6251.375977
283200	6250.206055
283800	6251.71875
284400	3127.465576
285000	0
285600	0
286200	0
286800	0
287400	0
288000	0
288600	0
289200	0
289800	0
290400	0
291000	0
291600	0
292200	0
292800	0
293400	0
294000	0
294600	0
295200	0
295800	0
296400	0
297000	0
297600	0
298200	0
298800	0
299400	0
300000	0
300600	0
301200	0
301800	0
302400	0
303000	0
303600	0
304200	0
304800	0
305400	0
306000	0
306600	0
307200	0
307800	0
308400	0
309000	0
309600	0
310200	0
310800	0
311400	0
312000	0
312600	0
313200	0
313800	0
314400	0
315000	0
315600	0
316200	0
316800	0
317400	0
318000	0
318600	0
319200	0
319800	0
320400	9673.639648
321000	19347.2793
321600	13793.96191
322200	13597.84668
322800	13465.56348
323400	13367.46875
324000	13293.51758
324600	13237.60742
325200	13195.46094
325800	13163.74219
326400	13139.88672
327000	13121.87793
327600	13108.0957
328200	13097.09277
328800	13087.88867
329400	13080.11133
330000	13073.68457
330600	13068.82617
331200	13065.95117
331800	13064.86426
332400	13064.72852
333000	13065.30664
333600	12962.86523
334200	12493.96777
334800	12277.11719
335400	12077.2168
336000	11891.62305
336600	11718.65918
337200	11556.85547
337800	11404.83301
338400	10598.55078
339000	9935.661133
339600	9935.661133
340200	9935.661133
340800	8804.635742
341400	8376.852539
342000	8101.907227
342600	7875.830566
343200	7686.875488
343800	8026.050781
344400	8006.250488
345000	7983.04541
345600	7961.417969
346200	7941.205078
346800	7922.685059
347400	7905.588379
348000	7889.549316
348600	7874.187988
349200	7859.139648
349800	7845.149902
350400	7833.218262
351000	7822.827637
351600	7813.219238
352200	7803.504395
352800	7792.5
353400	7779.69873
354000	7765.78125
354600	7752.516113
355200	7739.666016
355800	7728.205078
356400	7719.532227
357000	7715.876465
357600	7718.784668
358200	7726.462891
358800	7736.021973
359400	7744.758301
360000	7750.598145
360600	7752.797852
361200	7752.387207
361800	7750.015625
362400	7745.893555
363000	7740.649414
363600	7740.100586
364200	7743.474609
364800	7749.319824
365400	7756.710938
366000	7765.061035
366600	7773.594727
367200	7781.677734
367800	7788.588867
368400	7794.014648
369000	7798.358887
369600	7802.292969
370200	7806.730957
370800	3906.371582
371400	0
372000	0
372600	0
373200	0
373800	0
374400	0
375000	0
375600	0
376200	0
376800	0
377400	0
378000	0
378600	0
379200	0
379800	0
380400	0
381000	0
381600	0
382200	0
382800	0
383400	0
384000	0
384600	0
385200	0
385800	0
386400	0
387000	0
387600	0
388200	0
388800	0
389400	0
390000	0
390600	0
391200	0
391800	0
392400	0
393000	0
393600	0
394200	0
394800	0
395400	0
396000	0
396600	0
397200	0
397800	0
398400	0
399000	0
399600	0
400200	0
400800	0
401400	0
402000	0
402600	0
403200	0
403800	0
404400	0
405000	0
405600	0
406200	0
406800	9673.639648
407400	13345.16309
408000	12619.98926
408600	12527.09375
409200	12466.03223
409800	12422.59766
410400	12392.29004
411000	12371.76563
411600	12357.73242
412200	12348.53711
412800	12343.25879
413400	12341.56641
414000	12343.60059
414600	12349.54199
415200	12358.79004
415800	12370.32031
416400	11999.74023
417000	11743.64258
417600	11524.49609
418200	11322.45508
418800	11135.41504
419400	10961.5752
420000	10799.36914
420600	10647.33398
421200	10504.26172
421800	10369.07422
422400	10240.89746
423000	10119.2627
423600	10003.87793
424200	9894.583008
424800	9863.515625
425400	9935.661133
426000	9935.661133
426600	9935.661133
427200	8017.435547
427800	7714.628418
428400	7471.589355
429000	7271.666992
429600	7103.880371
430200	6960.22998
430800	6834.629395
431400	6723.042969
432000	6622.664063
432600	6531.225098
433200	6813.783203
433800	6824.931641
434400	6834.416504
435000	6843.245605
435600	6851.776367
436200	6860.250488
436800	6868.84668
437400	6877.62793
438000	6886.611328
438600	6895.775391
439200	6905.083984
439800	6913.080078
440400	6918.249512
441000	6921.208496
441600	6922.95166
442200	6924.714844
442800	6927.87207
443400	6933.075684
444000	6939.641113
444600	6947.883301
445200	6957.920898
445800	6968.790039
446400	6978.594727
447000	6987.561523
447600	6996.429688
448200	7005.302246
448800	7014.236816
449400	7023.259277
450000	7032.367676
450600	7041.42334
451200	7050.14209
451800	7058.341797
452400	7065.929688
453000	7072.984863
453600	7079.710938
454200	7086.146484
454800	7091.883301
455400	7095.911621
456000	7100.845703
456600	7108.405273
457200	3558.716553
457800	0
458400	0
459000	0
459600	0
460200	0
460800	0
461400	0
462000	0
462600	0
463200	0
463800	0
464400	0
465000	0
465600	0
466200	0
466800	0
467400	0
468000	0
468600	0
469200	0
469800	0
470400	0
471000	0
471600	0
472200	0
472800	0
473400	0
474000	0
474600	0
475200	0
475800	0
476400	0
477000	0
477600	0
478200	0
478800	0
479400	0
480000	0
480600	0
481200	0
481800	0
482400	0
483000	0
483600	0
484200	0
484800	0
485400	0
486000	0
486600	0
487200	0
487800	0
488400	0
489000	0
489600	318.1337891
490200	426.747467
490800	522.0791626
491400	608.3144531
492000	687.4749146
492600	761.1091309
493200	10088.89063
493800	19347.2793
494400	15259.62305
495000	14923.86523
495600	14713.85352
496200	14554.96777
496800	14430.33105
497400	14329.61426
498000	14246.43066
498600	14176.48438
499200	14116.94336
499800	14065.97266
500400	14022.44922
501000	13985.66699
501600	13954.65332
502200	13928.20117
502800	13905.0752
503400	13884.01465
504000	13863.86328
504600	13843.72168
505200	13823.49316
505800	13803.46387
