Zeit [h]	Temperature [C]
1	6.25014
2	6.24542
3	6.24068
4	6.23591
5	6.23113
6	6.22633
7	6.2215
8	6.21665
9	6.21178
10	6.20688
11	6.20195
12	6.197
13	6.19202
14	6.18701
15	6.18197
16	6.1769
17	6.17181
18	6.16668
19	6.16152
20	6.15634
21	6.15112
22	6.14588
23	6.14061
24	6.13531
25	6.12998
26	6.12463
27	6.11925
28	6.11385
29	6.10843
30	6.10298
31	6.09751
32	6.09202
33	6.08652
34	6.08099
35	6.07545
36	6.06989
37	6.06432
38	6.05874
39	6.05314
40	6.04753
41	6.04192
42	6.03629
43	6.03066
44	6.02502
45	6.01937
46	6.01372
47	6.00807
48	6.00241
49	5.99675
50	5.99109
51	5.98543
52	5.97977
53	5.97411
54	5.96845
55	5.9628
56	5.95715
57	5.95151
58	5.94587
59	5.94024
60	5.93461
61	5.929
62	5.9234
63	5.9178
64	5.91222
65	5.90665
66	5.9011
67	5.89556
68	5.89004
69	5.88453
70	5.87904
71	5.87357
72	5.86812
73	5.86269
74	5.85727
75	5.85188
76	5.8465
77	5.84114
78	5.8358
79	5.83047
80	5.82517
81	5.81987
82	5.8146
83	5.80934
84	5.80409
85	5.79886
86	5.79365
87	5.78844
88	5.78325
89	5.77807
90	5.77291
91	5.76775
92	5.76261
93	5.75747
94	5.75235
95	5.74724
96	5.74213
97	5.73703
98	5.73194
99	5.72686
100	5.72178
101	5.7167
102	5.71162
103	5.70655
104	5.70147
105	5.69639
106	5.6913
107	5.68621
108	5.6811
109	5.67598
110	5.67084
111	5.66569
112	5.66051
113	5.65532
114	5.6501
115	5.64486
116	5.63959
117	5.63429
118	5.62897
119	5.62362
120	5.61825
121	5.61284
122	5.60741
123	5.60196
124	5.59648
125	5.59097
126	5.58544
127	5.57988
128	5.5743
129	5.5687
130	5.56307
131	5.55742
132	5.55176
133	5.54607
134	5.54036
135	5.53463
136	5.52888
137	5.52311
138	5.51731
139	5.5115
140	5.50567
141	5.49981
142	5.49394
143	5.48804
144	5.48212
145	5.47618
146	5.47021
147	5.46422
148	5.4582
149	5.45215
150	5.44607
151	5.43997
152	5.43384
153	5.42767
154	5.42148
155	5.41526
156	5.40902
157	5.40274
158	5.39644
159	5.39011
160	5.38375
161	5.37737
162	5.37097
163	5.36455
164	5.3581
165	5.35164
166	5.34517
167	5.33868
168	5.33218
169	5.32567
170	5.31915
171	5.31263
172	5.3061
173	5.29958
174	5.29305
175	5.28653
176	5.28002
177	5.27351
178	5.26702
179	5.26053
180	5.25406
181	5.24761
182	5.24118
183	5.23476
184	5.22836
185	5.22199
186	5.21564
187	5.20932
188	5.20303
189	5.19676
