time [h]	SupplyTemperatureSchedule [C]
1	-1.529
2	-1.573
3	-1.623
4	-1.576
5	-1.499
6	-1.426
7	-1.441
8	-1.505
9	-1.500
10	-1.541
11	-1.567
12	-1.574
13	-1.610
14	-1.643
15	-1.617
16	-1.601
17	-1.580
18	-1.628
19	-1.646
20	-1.640
21	-1.645
22	-1.660
23	-1.646
24	-1.616
25	-1.581
26	-1.533
27	-1.473
28	-1.418
29	-1.369
30	-1.337
31	-1.398
32	-1.472
33	-1.547
34	-1.536
35	-1.557
36	-1.585
37	-1.566
38	-1.560
39	-1.572
40	-1.595
41	-1.590
42	-1.537
43	-1.534
44	-1.553
45	-1.542
46	-1.519
47	-1.544
48	-1.568
49	-1.537
50	-1.481
51	-1.427
52	-1.379
53	-1.335
54	-1.308
55	-1.342
56	-1.409
57	-1.451
58	-1.456
59	-1.441
60	-1.453
61	-1.462
62	-1.454
63	-1.432
64	-1.411
65	-1.394
66	-1.410
67	-1.426
68	-1.430
69	-1.452
70	-1.484
71	-1.467
72	-1.437
73	-1.395
74	-1.347
75	-1.302
76	-1.263
77	-1.230
78	-1.213
79	-1.280
80	-1.358
81	-1.409
82	-1.474
83	-1.458
84	-1.435
85	-1.411
86	-1.416
87	-1.424
88	-1.434
89	-1.479
90	-1.478
91	-1.452
92	-1.420
93	-1.404
94	-1.447
95	-1.515
96	-1.512
97	-1.454
98	-1.395
99	-1.344
100	-1.299
101	-1.261
102	-1.238
103	-1.278
104	-1.349
105	-1.377
106	-1.369
107	-1.402
108	-1.448
109	-1.449
110	-1.414
111	-1.402
112	-1.438
113	-1.444
114	-1.454
115	-1.439
116	-1.454
117	-1.465
118	-1.438
119	-1.413
120	-1.387
121	-1.341
122	-1.298
123	-1.259
124	-1.225
125	-1.196
126	-1.178
127	-1.246
128	-1.332
129	-1.377
130	-1.332
131	-1.307
132	-1.326
133	-1.319
134	-1.316
135	-1.305
136	-1.272
137	-1.285
138	-1.295
139	-1.341
140	-1.341
141	-1.315
142	-1.294
143	-1.330
144	-1.320
145	-1.289
146	-1.253
147	-1.220
148	-1.194
149	-1.170
150	-1.156
151	-1.205
152	-1.280
153	-1.292
154	-1.290
155	-1.285
156	-1.297
157	-1.295
158	-1.271
159	-1.255
160	-1.249
161	-1.231
162	-1.227
163	-1.269
164	-1.272
165	-1.294
166	-1.304
167	-1.290
168	-1.279
169	-1.248
170	-1.212
171	-1.184
172	-1.157
173	-1.129
174	-1.111
175	-1.152
176	-1.228
177	-1.310
178	-1.355
179	-1.335
180	-1.356
181	-1.371
182	-1.386
183	-1.362
184	-1.357
185	-1.343
186	-1.352
187	-1.365
188	-1.356
189	-1.383
190	-1.413
191	-1.470
192	-1.439
193	-1.384
194	-1.333
195	-1.288
196	-1.250
197	-1.216
198	-1.201
199	-1.262
200	-1.342
201	-1.370
202	-1.406
203	-1.439
204	-1.479
205	-1.462
206	-1.450
207	-1.423
208	-1.404
209	-1.429
210	-1.457
211	-1.458
212	-1.495
