Zeit [h]	Temperature [C]
1	-1.290
2	-1.429
3	-1.613
4	-1.427
5	-0.997
6	-0.711
7	-0.771
8	-1.209
9	-1.225
10	-1.346
11	-1.421
12	-1.379
13	-1.427
14	-1.672
15	-1.359
16	-1.280
17	-1.145
18	-1.456
19	-1.619
20	-1.392
21	-1.515
22	-1.469
23	-1.339
24	-1.111
25	-1.082
26	-1.013
27	-0.736
28	-0.573
29	-0.467
30	-0.379
31	-0.741
32	-1.066
33	-1.366
34	-1.385
35	-1.241
36	-1.338
37	-1.125
38	-1.150
39	-1.332
40	-1.272
41	-1.339
42	-0.987
43	-1.032
44	-1.138
45	-1.120
46	-0.939
47	-1.264
48	-1.199
49	-1.125
50	-0.814
51	-0.613
52	-0.494
53	-0.389
54	-0.313
55	-0.573
56	-0.977
57	-1.062
58	-0.996
59	-0.910
60	-1.237
61	-0.999
62	-0.976
63	-0.808
64	-0.773
65	-0.704
66	-0.798
67	-0.829
68	-0.838
69	-0.985
70	-1.136
71	-1.001
72	-0.823
73	-0.690
74	-0.499
75	-0.363
76	-0.275
77	-0.215
78	-0.187
79	-0.590
80	-0.927
81	-1.015
82	-1.280
83	-0.964
84	-0.936
85	-0.819
86	-0.844
87	-1.103
88	-0.888
89	-1.230
90	-1.105
91	-0.898
92	-0.813
93	-0.672
94	-1.063
95	-1.231
96	-1.287
97	-0.866
98	-0.609
99	-0.451
100	-0.347
101	-0.272
102	-0.220
103	-0.513
104	-0.926
105	-1.009
106	-0.799
107	-1.060
108	-1.137
109	-1.096
110	-0.837
111	-0.764
112	-0.992
113	-1.049
114	-1.323
115	-0.899
116	-0.987
117	-1.060
118	-0.883
119	-0.786
120	-0.735
121	-0.512
122	-0.388
123	-0.304
124	-0.239
125	-0.194
126	-0.153
127	-0.584
128	-0.951
129	-1.273
130	-0.747
131	-0.599
132	-1.012
133	-0.715
134	-0.666
135	-0.674
136	-0.510
137	-0.402
138	-0.499
139	-0.903
140	-0.851
141	-0.728
142	-0.583
143	-0.686
144	-0.684
145	-0.602
146	-0.465
147	-0.363
148	-0.311
149	-0.272
150	-0.242
151	-0.505
152	-0.940
153	-0.932
154	-0.804
155	-0.710
156	-0.957
157	-0.803
158	-0.623
159	-0.578
160	-0.606
161	-0.539
162	-0.516
163	-0.687
164	-0.713
165	-0.851
166	-0.865
167	-0.741
168	-0.713
169	-0.550
170	-0.422
171	-0.355
172	-0.301
173	-0.230
174	-0.186
175	-0.559
176	-0.879
177	-1.172
178	-1.431
179	-1.034
180	-1.029
181	-1.051
182	-0.959
183	-0.823
184	-0.989
185	-0.885
186	-0.937
187	-1.005
188	-0.937
189	-0.936
190	-1.076
191	-1.420
192	-1.204
193	-0.880
194	-0.687
195	-0.559
196	-0.474
197	-0.411
198	-0.358
199	-0.731
200	-1.212
201	-1.227
202	-1.129
203	-1.188
204	-1.440
205	-1.139
206	-1.162
207	-1.098
208	-0.887
