Zeit [h]	SupplyTemperatureSchedule [C]
1	64.73333333
2	65.6
3	66.06666667
4	65.6
5	65.2
6	64.93333333
7	64.33333333
8	64
9	63.8
10	63.4
11	62.93333333
12	62.66666667
13	62.73333333
14	62.4
15	62.2
16	62
17	61.86666667
18	61.8
19	61.93333333
20	61.8
21	61.8
22	61.86666667
23	61.73333333
24	61.86666667
25	61.66666667
26	61.26666667
27	61.26666667
28	61.46666667
29	61.46666667
30	61.66666667
31	61.93333333
32	61.8
33	62
34	61.8
35	61.66666667
36	62.06666667
37	62.33333333
38	62.66666667
39	63.2
40	64.13333333
41	64.26666667
42	64.73333333
43	65.53333333
44	65.93333333
45	66.06666667
46	66.06666667
47	66.33333333
48	66.73333333
49	66.86666667
50	67.26666667
51	67.33333333
52	67.8
53	68
54	68.13333333
55	68
56	68.13333333
57	67.86666667
58	67.26666667
59	66.46666667
60	65.73333333
61	65
62	65.4
63	65.6
64	66.2
65	66.93333333
66	67.93333333
67	68.26666667
68	68.66666667
69	69
70	69.4
71	69.66666667
72	70.06666667
73	70.33333333
74	70.53333333
75	70.73333333
76	71
77	71.13333333
78	71.33333333
79	71.4
80	71.6
81	71.93333333
82	71.2
83	70.06666667
84	68.26666667
85	65.46666667
86	66.06666667
87	66.53333333
88	67.13333333
89	67.46666667
90	67.53333333
91	67.6
92	67.8
93	68.33333333
94	69.13333333
95	69.53333333
96	69.6
97	70.2
98	69.66666667
99	70
100	70.13333333
101	70.2
102	70.73333333
103	70.53333333
104	71
105	70.93333333
106	70.26666667
107	69.2
108	66.4
109	63.86666667
110	65
111	64.86666667
112	65.33333333
113	66.26666667
114	67.06666667
115	67.2
116	67.73333333
117	67.8
118	67.73333333
119	67.8
120	67.33333333
121	67.53333333
122	66.4
123	65.66666667
124	65.26666667
125	64.8
126	64.2
127	64.06666667
128	63.53333333
129	63.26666667
130	63
131	62.26666667
132	61.93333333
133	61.93333333
134	62.2
135	62.2
136	62.13333333
137	62.2
138	62
139	62
140	61.93333333
141	61.8
142	61.6
143	61.6
144	61.6
145	61.46666667
146	61.46666667
147	61.46666667
148	61.6
149	61.6
150	61.6
151	61.8
152	61.93333333
153	62.13333333
154	62.2
155	62.13333333
156	62.2
157	62.26666667
158	62.2
159	62.13333333
160	62.26666667
161	62.4
162	62.53333333
163	62.46666667
164	62.6
165	62.73333333
166	62.8
167	62.86666667
168	62.93333333
169	62.93333333
170	62.93333333
171	63
172	63
173	63.13333333
174	63.33333333
175	63.46666667
176	63.53333333
177	63.53333333
178	63.4
179	63.26666667
180	63.06666667
181	63
182	62.8
183	62.86666667
184	62.93333333
185	63
186	63.06666667
187	63.06666667
188	63.13333333
189	63.26666667
190	63.4
191	63.66666667
192	63.66666667
193	63.73333333
194	63.73333333
195	63.73333333
196	63.86666667
197	63.8
198	63.73333333
199	63.6
200	63.53333333
201	63.53333333
202	63.46666667
203	63.4
204	63.33333333
205	63.33333333
206	63.4
207	63.53333333
208	63.66666667
209	63.6
210	63.73333333
211	63.86666667
212	63.93333333
213	63.86666667
214	63.93333333
215	63.93333333
