Time[h]	Temperature[C]
0	0.8
1	1.5
2	2.0
3	2.0
4	2.0
5	1.7
6	2.4
7	1.9
8	1.8
9	2.6
10	3.7
11	4.5
12	5.1
13	4.7
14	4.4
15	4.3
16	3.6
17	2.0
18	2.1
19	2.0
20	1.9
21	3.2
22	3.2
23	2.5
24	3.2
25	3.0
26	4.1
27	4.5
28	3.7
29	3.9
30	4.4
31	4.5
32	7.4
33	7.5
34	5.1
35	5.1
36	4.1
37	3.9
38	4.2
39	3.8
40	2.9
41	2.8
42	2.2
43	2.2
44	2.1
45	0.8
46	0.8
47	0.7
48	1.3
49	1.5
50	1.5
51	1.3
52	1.2
53	1.7
54	1.3
55	1.7
56	2.1
57	2.4
58	2.6
59	3.1
60	3.5
61	3.4
62	3.3
63	3.5
64	3.6
65	3.4
66	3.4
67	3.6
68	3.2
69	3.4
70	3.4
71	3.2
72	3.3
73	3.5
74	3.4
75	3.7
76	3.8
77	4.1
78	3.9
79	4.4
80	4.2
81	4.6
82	4.7
83	6.0
84	6.4
85	6.4
86	6.0
87	5.6
88	4.3
89	2.5
90	2.6
91	0.3
92	-1.3
93	-1.4
94	-2.0
95	-2.5
96	-3.1
97	-3.3
98	-3.2
99	-3.3
100	-3.1
101	-3.0
102	-3.6
103	-4.5
104	-4.0
105	-1.4
106	2.2
107	3.9
108	5.0
109	6.8
110	6.6
111	4.8
112	3.8
113	3.7
114	4.0
115	3.8
116	3.5
117	3.2
118	3.2
119	3.3
120	3.5
121	3.0
122	5.8
123	7.2
124	7.1
125	7.6
126	7.4
127	6.1
128	6.2
129	6.7
130	6.4
131	6.8
132	7.9
133	8.2
134	7.4
135	6.5
136	5.8
137	3.4
138	4.4
139	5.0
140	4.2
141	3.0
142	1.1
143	0.3
144	-0.2
145	0.4
146	-1.0
147	-1.1
148	0.4
149	-0.2
150	-0.1
151	-0.8
152	-0.5
153	1.3
154	4.3
155	5.3
156	6.7
157	8.3
158	9.6
159	8.3
160	5.4
161	2.5
162	0.3
163	-0.3
164	-0.3
165	-1.0
166	-1.4
167	-1.8
168	-1.4
169	-1.6
170	-1.4
171	-2.3
172	-2.5
173	-2.6
174	-2.5
175	-2.8
176	-2.7
177	-1.0
178	2.9
179	4.5
180	7.7
181	7.6
182	11.2
183	10.2
184	7.0
185	1.3
186	0.3
187	6.7
188	8.2
189	5.5
190	7.1
191	6.5
192	6.8
193	8.0
194	7.0
195	6.7
196	5.6
197	4.8
198	4.6
199	5.9
200	4.7
201	5.4
202	6.5
203	6.9
204	8.2
205	8.4
206	7.1
207	7.1
208	5.9
209	5.6
210	5.1
211	4.2
212	3.7
213	3.8
214	3.0
215	2.2
216	1.7
217	-0.4
218	-0.9
219	-1.3
220	-1.3
221	-0.8
222	-1.2
223	-2.2
224	-2.0
225	-0.4
226	1.9
227	4.3
228	6.6
229	7.0
230	7.6
231	7.9
232	5.7
233	3.3
234	2.6
235	2.1
236	0.4
237	0.1
238	-0.4
239	-1.3
240	-1.8
241	-3.1
242	-3.3
243	-3.3
244	-3.4
245	-3.6
246	-3.9
247	-2.4
248	-2.6
249	-0.9
250	1.4
251	3.5
252	6.2
253	9.4
254	9.2
255	8.0
256	5.4
257	1.0
258	-0.1
259	0.9
260	-0.5
261	-1.4
262	-1.1
263	-1.8
264	-1.2
265	-1.3
266	-2.0
267	-2.0
268	-2.3
269	-2.3
270	-2.3
271	-2.9
272	-2.0
273	-1.1
274	1.1
275	3.9
276	4.1
277	5.1
278	5.7
279	5.7
280	3.9
281	2.8
282	3.1
283	2.5
284	2.3
285	2.7
286	2.3
287	2.2
288	1.9
289	2.2
290	2.7
291	3.0
292	4.0
293	3.5
294	2.8
295	3.0
296	2.5
297	3.6
298	3.9
299	5.4
300	6.1
301	5.3
302	5.9
303	4.4
304	1.1
305	2.7
306	1.3
307	0.8
308	0.7
309	0.4
310	-0.3
311	-0.3
312	-0.2
313	0.9
314	0.8
315	0.0
316	0.4
317	0.4
318	0.2
319	0.2
320	0.6
321	0.3
322	0.7
323	1.8
324	1.7
325	2.0
326	2.9
327	2.2
328	0.6
329	-1.2
330	-1.9
331	-2.4
332	-3.0
333	-3.2
334	-3.7
335	-4.3
336	-4.8
337	-5.5
338	-6.0
339	-5.9
340	-5.6
341	-5.9
342	-6.0
343	-5.7
344	-5.9
345	-3.9
346	-0.7
347	-0.3
348	2.1
349	3.6
350	2.8
351	2.9
352	0.4
353	-1.0
354	-1.3
355	-2.0
356	-3.2
357	-3.9
358	-4.3
359	-5.7
360	-6.5
361	-5.6
362	-5.6
363	-5.6
364	-6.0
365	-6.5
366	-7.9
367	-8.5
368	-8.4
369	-4.9
370	-2.6
371	-1.9
372	0.3
373	2.2
