time [h]	Qevap [W]
0	298.44
1	330.07
2	431.28
3	604.91
4	743.40
5	4800.00
6	4800.00
7	4800.00
8	4800.00
9	4800.00
10	4742.87
11	4460.72
12	3983.60
13	4051.40
14	4011.24
15	4133.17
16	4134.33
17	4092.69
18	3858.27
19	3677.34
20	3916.24
21	3351.57
22	3630.38
23	274.65
24	270.77
25	269.92
26	248.76
27	252.86
28	276.92
29	4800.00
30	4800.00
31	4465.88
32	4206.96
33	3906.79
34	3753.78
35	3571.84
36	3029.31
37	2844.82
38	2837.09
39	3008.36
40	3092.43
41	3153.06
42	3063.03
43	2918.89
44	3204.78
45	4181.06
46	4227.49
47	198.10
48	214.04
49	220.64
50	205.94
51	209.76
52	212.39
53	4800.00
54	4800.00
55	3719.36
56	3585.01
57	3197.18
58	2878.79
59	2590.09
60	2121.58
61	2262.13
62	2335.71
63	2578.69
64	2874.02
65	3086.10
66	3115.69
67	3089.51
68	3457.26
69	2885.78
70	3003.31
71	235.37
72	253.69
73	264.10
74	255.09
75	256.89
76	249.02
77	4800.00
78	4800.00
79	4229.03
80	3978.66
81	3397.38
82	3218.59
83	3006.26
84	2848.49
85	2906.13
86	2957.11
87	3109.07
88	3127.44
89	3101.96
90	2964.26
91	2825.44
92	3123.90
93	3778.25
94	3850.67
95	207.58
96	213.54
97	219.65
98	204.90
99	211.56
100	214.00
101	4800.00
102	4531.16
103	3432.09
104	3396.35
105	3263.51
106	3182.34
107	3143.89
108	3041.03
109	3096.60
110	3041.34
111	3096.99
112	3043.16
113	2900.05
114	2707.43
115	2536.82
116	2859.88
117	2205.58
118	2237.71
119	177.56
120	197.47
121	194.83
122	176.66
123	187.62
124	183.81
125	4750.30
126	3951.01
127	2939.08
128	2862.33
129	2469.58
130	2099.85
131	2090.86
132	1892.48
133	1928.58
134	1976.49
135	2277.37
136	2587.44
137	2657.47
138	2673.16
139	2585.72
140	2946.45
141	2306.37
142	2414.16
143	211.46
144	201.60
145	210.65
146	207.87
147	219.36
148	220.55
149	4800.00
150	4620.96
151	3689.70
152	3491.72
153	2706.31
154	2092.70
155	1893.39
156	1910.51
157	1837.18
158	1928.85
159	2300.52
160	2554.18
161	2677.30
162	2627.99
163	2631.92
164	3036.66
165	2418.24
166	2545.46
167	207.34
168	223.30
169	232.88
170	228.45
171	244.92
172	249.99
173	4800.00
174	4800.00
175	4311.17
176	4195.00
177	3977.72
178	3825.31
179	3316.49
180	2399.94
181	2290.03
182	2184.17
183	2641.82
184	3104.81
185	3283.88
186	3306.94
187	3434.70
188	3874.91
189	3362.25
190	3482.74
191	269.64
192	268.99
193	274.75
194	262.79
195	269.00
196	318.55
197	4800.00
198	4800.00
199	4470.37
