                 Time [s]	     Steps	  RhsEvals	 LinSetups	  NIters	 NConvFails	  NErrFails	 Order	  StepSize [s]
          3601.3001234179	       467	       948	       175	     947	         27	          0	     1	      3.133929
          7212.7011531886	      1025	      2540	       846	    2539	        182	          0	     1	     14.338898
         10801.8105609938	      1354	      3422	      1215	    3421	        270	          0	     1	     11.973853
         14404.9263104101	      1704	      4442	      1656	    4441	        388	          0	     1	     16.917648
         18003.5045529213	      2042	      5410	      2075	    5409	        501	          0	     1	     11.449753
         21604.4341482049	      2393	      6415	      2497	    6414	        610	          0	     1	     10.969986
         25207.5767209853	      2757	      7403	      2899	    7402	        717	          0	     1	      9.640276
         28804.4646102238	      3110	      8449	      3355	    8448	        839	          0	     1	      6.828415
         32413.5587577510	      3483	      9511	      3800	    9510	        953	          0	     1	     26.076869
         36003.6190846522	      3856	     10532	      4222	   10531	       1047	          0	     1	      7.063823
         39605.9085578885	      4205	     11438	      4594	   11437	       1125	          0	     1	      8.309527
         43209.0112651453	      4541	     12355	      4977	   12354	       1207	          0	     1	     12.280306
         46803.8316936591	      4880	     13318	      5399	   13317	       1316	          0	     1	      7.715401
         50402.5284638757	      5261	     14296	      5797	   14295	       1423	          0	     1	     14.624578
         54009.0656516116	      5626	     15329	      6232	   15328	       1541	          0	     1	     11.709031
         57603.5458838970	      5982	     16330	      6644	   16329	       1642	          0	     1	      9.508420
         61201.4280926405	      6363	     17304	      7023	   17303	       1725	          0	     1	      5.510387
         64804.1391078066	      6696	     18192	      7369	   18191	       1801	          0	     1	      5.510518
         68405.0843413335	      7054	     19234	      7828	   19233	       1927	          0	     1	      6.623790
         72010.2091877405	      7394	     20221	      8273	   20220	       2048	          0	     1	     13.849791
         75608.5694069801	      7764	     21232	      8695	   21231	       2150	          0	     1	      8.665489
         79204.0932349483	      8113	     22205	      9103	   22204	       2245	          0	     1	      4.187662
         82802.5586472553	      8477	     23260	      9555	   23259	       2365	          0	     1	     30.172131
         86400.4101859537	      8844	     24320	     10011	   24319	       2486	          0	     1	     23.969887
