Time [h]	NetworkElement(id=1001).OutletNodeTemperature [C]	NetworkElement(id=1002).OutletNodeTemperature [C]	NetworkElement(id=1003).OutletNodeTemperature [C]	NetworkElement(id=1004).OutletNodeTemperature [C]	NetworkElement(id=2001).OutletNodeTemperature [C]	NetworkElement(id=2002).OutletNodeTemperature [C]	NetworkElement(id=2003).OutletNodeTemperature [C]	NetworkElement(id=2004).OutletNodeTemperature [C]	NetworkElement(id=1001).OutletNodePressure [Pa]	NetworkElement(id=1002).OutletNodePressure [Pa]	NetworkElement(id=1003).OutletNodePressure [Pa]	NetworkElement(id=1004).OutletNodePressure [Pa]	NetworkElement(id=2001).OutletNodePressure [Pa]	NetworkElement(id=2002).OutletNodePressure [Pa]	NetworkElement(id=2003).OutletNodePressure [Pa]	NetworkElement(id=2004).OutletNodePressure [Pa]	NetworkElement(id=1001).FluidMassFlux [kg/s]	NetworkElement(id=1002).FluidMassFlux [kg/s]	NetworkElement(id=1003).FluidMassFlux [kg/s]	NetworkElement(id=1004).FluidMassFlux [kg/s]	NetworkElement(id=2001).FluidMassFlux [kg/s]	NetworkElement(id=2002).FluidMassFlux [kg/s]	NetworkElement(id=2003).FluidMassFlux [kg/s]	NetworkElement(id=2004).FluidMassFlux [kg/s]	NetworkElement(id=1001).FluidTemperature [C]	NetworkElement(id=1002).FluidTemperature [C]	NetworkElement(id=1003).FluidTemperature [C]	NetworkElement(id=1004).FluidTemperature [C]	NetworkElement(id=2001).FluidTemperature [C]	NetworkElement(id=2002).FluidTemperature [C]	NetworkElement(id=2003).FluidTemperature [C]	NetworkElement(id=2004).FluidTemperature [C]	NetworkElement(id=1001).FluidHeatFlux [W]	NetworkElement(id=1002).FluidHeatFlux [W]	NetworkElement(id=1003).FluidHeatFlux [W]	NetworkElement(id=1004).FluidHeatFlux [W]	NetworkElement(id=2001).FluidHeatFlux [W]	NetworkElement(id=2002).FluidHeatFlux [W]	NetworkElement(id=2003).FluidHeatFlux [W]	NetworkElement(id=2004).FluidHeatFlux [W]
0	20	20	20	20	20	20	20	20	1000	508.596	491.404	2e-06	10000	5021.76	4978.24	-4.37455e-18	0.0426415	0.0426415	0.0426415	0.0426415	0.0678381	0.0678381	0.0678381	0.0678381	20	20	20	20	20	20	20	20	0	351.794	-300	675.444	50	391.883	-300	2901.09
1	9.76471	9.8921	11.2788	9.75488	6.7344	8.08712	8.99788	6.8678	1000	504.001	478.283	-1.51873e-18	10000	5128.48	5065.74	1.99885e-06	0.0521537	0.0521537	0.0521537	0.0521537	0.081455	0.081455	0.081455	0.081455	9.76471	9.8921	11.2788	9.75488	6.7344	7.39776	8.99788	7.8596	0	-8.45314	-300	350.729	50	-101.977	-300	960.927
2	9.4028	9.49405	10.8545	9.40383	4.77045	5.44108	6.29049	4.90817	1000	507.229	480.941	-1.51873e-18	10000	5114.2	5045.93	-1.75378e-18	0.0527281	0.0527281	0.0527281	0.0527281	0.0849679	0.0849679	0.0849679	0.0849679	9.4028	9.49405	10.8545	9.40383	4.77045	5.12749	6.29049	5.5188	0	-21.425	-300	317.904	50	-190.945	-300	531.686
3	9.44914	9.53851	10.9014	9.4492	4.43243	5.03444	5.87367	4.57154	1000	507.336	481.117	-1.51873e-18	10000	5114.54	5045.36	2e-06	0.0526584	0.0526584	0.0526584	0.0526584	0.0855393	0.0855393	0.0855393	0.0855393	9.44914	9.53851	10.9014	9.4492	4.43243	4.75386	5.87367	5.14584	0	-19.7744	-300	319.542	50	-205.587	-300	475.333
4	9.45217	9.54148	10.9044	9.45217	4.35827	4.94715	5.78599	4.49769	1000	507.336	481.117	-1.51873e-18	10000	5114.6	5045.23	1.99999e-06	0.0526584	0.0526584	0.0526584	0.0526584	0.0856594	0.0856594	0.0856594	0.0856594	9.45217	9.54148	10.9044	9.45217	4.35827	4.67271	5.78599	5.06471	0	-19.6661	-300	319.65	50	-208.767	-300	463.074
5	9.34284	9.45671	10.8175	9.3418	4.20668	4.8349	5.67254	4.34503	1000	505.898	479.562	-4.98818e-18	10000	5113.52	5043.81	-1.35525e-20	0.0527763	0.0527763	0.0527763	0.0527763	0.0858597	0.0858597	0.0858597	0.0858597	9.34284	9.45671	10.8175	9.3418	4.20668	4.54299	5.67254	4.92931	0	-23.5978	-300	327.359	50	-213.851	-300	487.945
6	9.55016	9.60789	10.9723	9.55224	4.43203	4.94617	5.78312	4.57335	1000	509.376	483.279	-1.51873e-18	10000	5116.61	5047.33	2e-06	0.0525361	0.0525361	0.0525361	0.0525361	0.0855976	0.0855976	0.0855976	0.0855976	9.55016	9.60789	10.9723	9.55224	4.43203	4.705	5.78312	5.10668	0	-16.1265	-300	307.68	50	-207.502	-300	408.976
7	9.47817	9.57382	10.9395	9.47658	4.39052	5.00629	5.84678	4.52897	1000	506.785	480.616	-4.95514e-20	10000	5113.65	5044.39	1.99811e-06	0.0526091	0.0526091	0.0526091	0.0526091	0.085588	0.085588	0.085588	0.085588	9.47817	9.57382	10.9395	9.47658	4.39052	4.72067	5.84678	5.10814	0	-18.7444	-300	324.461	50	-206.888	-300	484.746
8	9.36739	9.4734	10.8344	9.36685	4.23957	4.85131	5.68864	4.37823	1000	506.334	480.021	-4.95514e-20	10000	5113.91	5044.26	2e-06	0.0527529	0.0527529	0.0527529	0.0527529	0.0858246	0.0858246	0.0858246	0.0858246	9.36739	9.4734	10.8344	9.36685	4.23957	4.56631	5.68864	4.9554	0	-22.7144	-300	324.364	50	-212.937	-300	476.777
9	9.63836	9.67928	11.0463	9.64104	4.54892	5.03923	5.87723	4.69126	1000	510.454	484.478	2e-06	10000	5117.21	5048.19	2e-06	0.0524146	0.0524146	0.0524146	0.0524146	0.0854409	0.0854409	0.0854409	0.0854409	9.63836	9.67928	11.0463	9.64104	4.54892	4.80901	5.87723	5.21406	0	-12.9557	-300	303.104	50	-203.426	-300	394.981
