Location.AirPressure          	[Pa]      	Air pressure.
Location.Albedo               	[---]     	Albedo value of the surrounding [0..1].
Location.AzimuthAngle         	[Deg]     	Solar azimuth (0 - north).
Location.CO2Concentration     	[---]     	Ambient CO2 concentration.
Location.CO2Density           	[kg/m3]   	Ambient CO2 density.
Location.DeclinationAngle     	[Deg]     	Solar declination (0 - north).
Location.ElevationAngle       	[Deg]     	Solar elevation (0 - at horizont, 90 - directly above).
Location.LWSkyRadiation       	[W/m2]    	Long wave sky radiation.
Location.Latitude             	[Deg]     	Latitude.
Location.Longitude            	[Deg]     	Longitude.
Location.MoistureDensity      	[kg/m3]   	Ambient moisture density.
Location.RelativeHumidity     	[%]       	Relative humidity.
Location.SWRadDiffuseHorizontal	[W/m2]    	Diffuse short-wave radiation flux density on horizontal surface.
Location.SWRadDirectNormal    	[W/m2]    	Direct short-wave radiation flux density in normal direction.
Location.Temperature          	[C]       	Outside temperature.
Location.VaporPressure        	[Pa]      	Ambient vapor pressure.
Location.WindDirection        	[Deg]     	Wind direction (0 - north).
Location.WindVelocity         	[m/s]     	Wind velocity.
Network.FluidHeatFlux(id,4)   	[W]       	Heat flux from all flow elements into environment
Network.FluidHeatFluxes(id,4) 	[W]       	Heat flux from all flow elements into environment
Network.FluidMassFlux         	[kg/s]    	Fluid mass flux through a flow element
Network.FluidMassFluxes       	[kg/s]    	Fluid mass flux trough all flow elements
Network.FluidTemperature      	[C]       	Internal fluid temperatures fo all network elements
Network.FluidTemperatures     	[C]       	Internal fluid temperatures fo all network elements
Network.InletNodePressure     	[Pa]      	Fluid pressure at inlet node of a flow element
Network.InletNodeTemperature  	[C]       	Inlet node temperatures of a flow elements
Network.OutletNodePressure    	[Pa]      	Fluid pressure at outlet node of a flow element
Network.OutletNodeTemperature 	[C]       	Outlet node temperatures of a flow elements
Zone.AirTemperature           	[C]       	Room air temperature.
Zone.CompleteThermalLoad      	[W]       	Sum of all thermal fluxes into the room and energy sources.
Zone.ConstructionHeatConductionLoad	[W]       	Sum of heat conduction fluxes from construction surfaces into the room.
Zone.ConvectiveEquipmentHeatLoad	[W]       	Equipment heat load inside the room.
Zone.ConvectiveLightingHeatLoad	[W]       	Lighting heat load inside the room.
Zone.ConvectivePersonHeatLoad 	[W]       	Person heat load inside the room.
Zone.HydraulicHeatingLoad     	[W]       	Sum of heat fluxes from components of a hydraulic network into the room (only the fraction applied to room volume).
Zone.InfiltrationHeatLoad     	[W]       	Infiltration/natural ventilation heat flux into the room.
Zone.WindowHeatConductionLoad 	[W]       	Sum of heat conduction fluxes through windows into the room.
Zone.WindowSolarRadiationLoad 	[W]       	Sum of solar radiation fluxes through windows into the room (only the fraction applied to room volume).
