Time [h]	NetworkElement.FluidMassFlux [kg/s]	NetworkElement(id=1).FluidMassFlux [kg/s]	NetworkElement(id=2).FluidMassFlux [kg/s]	NetworkElement(id=4).FluidMassFlux [kg/s]	NetworkElement(id=6).FluidMassFlux [kg/s]	NetworkElement(id=7).FluidMassFlux [kg/s]	NetworkElement(id=8).FluidMassFlux [kg/s]	NetworkElement(id=9).FluidMassFlux [kg/s]	NetworkElement(id=10).FluidMassFlux [kg/s]	NetworkElement(id=11).FluidMassFlux [kg/s]	NetworkElement(id=12).FluidMassFlux [kg/s]	NetworkElement(id=13).FluidMassFlux [kg/s]	NetworkElement(id=14).FluidMassFlux [kg/s]	NetworkElement(id=15).FluidMassFlux [kg/s]	NetworkElement(id=16).FluidMassFlux [kg/s]	NetworkElement(id=17).FluidMassFlux [kg/s]	NetworkElement(id=18).FluidMassFlux [kg/s]	NetworkElement(id=19).FluidMassFlux [kg/s]	NetworkElement(id=20).FluidMassFlux [kg/s]	NetworkElement(id=21).FluidMassFlux [kg/s]	NetworkElement.InletNodePressure [Pa]	NetworkElement(id=1).InletNodePressure [Pa]	NetworkElement(id=2).InletNodePressure [Pa]	NetworkElement(id=4).InletNodePressure [Pa]	NetworkElement(id=6).InletNodePressure [Pa]	NetworkElement(id=7).InletNodePressure [Pa]	NetworkElement(id=8).InletNodePressure [Pa]	NetworkElement(id=9).InletNodePressure [Pa]	NetworkElement(id=10).InletNodePressure [Pa]	NetworkElement(id=11).InletNodePressure [Pa]	NetworkElement(id=12).InletNodePressure [Pa]	NetworkElement(id=13).InletNodePressure [Pa]	NetworkElement(id=14).InletNodePressure [Pa]	NetworkElement(id=15).InletNodePressure [Pa]	NetworkElement(id=16).InletNodePressure [Pa]	NetworkElement(id=17).InletNodePressure [Pa]	NetworkElement(id=18).InletNodePressure [Pa]	NetworkElement(id=19).InletNodePressure [Pa]	NetworkElement(id=20).InletNodePressure [Pa]	NetworkElement(id=21).InletNodePressure [Pa]	NetworkElement.InletNodeTemperature [C]	NetworkElement(id=1).InletNodeTemperature [C]	NetworkElement(id=2).InletNodeTemperature [C]	NetworkElement(id=4).InletNodeTemperature [C]	NetworkElement(id=6).InletNodeTemperature [C]	NetworkElement(id=7).InletNodeTemperature [C]	NetworkElement(id=8).InletNodeTemperature [C]	NetworkElement(id=9).InletNodeTemperature [C]	NetworkElement(id=10).InletNodeTemperature [C]	NetworkElement(id=11).InletNodeTemperature [C]	NetworkElement(id=12).InletNodeTemperature [C]	NetworkElement(id=13).InletNodeTemperature [C]	NetworkElement(id=14).InletNodeTemperature [C]	NetworkElement(id=15).InletNodeTemperature [C]	NetworkElement(id=16).InletNodeTemperature [C]	NetworkElement(id=17).InletNodeTemperature [C]	NetworkElement(id=18).InletNodeTemperature [C]	NetworkElement(id=19).InletNodeTemperature [C]	NetworkElement(id=20).InletNodeTemperature [C]	NetworkElement(id=21).InletNodeTemperature [C]
0	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
1	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.0928	11.095	11.095	11.095	11.1026	11.1026	11.0927	11.0891	11.0964	11.0898	11.0964	11.0898	11.0964	11.0898	11.0964	11.0943	11.0942	11.0858	11.0942	11.0858
2	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.5795	11.5807	11.5807	11.5807	11.5843	11.5843	11.5794	11.5777	11.5812	11.578	11.5812	11.578	11.5812	11.578	11.5812	11.5797	11.5803	11.5757	11.5803	11.5757
3	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.7964	11.7972	11.7972	11.7972	11.799	11.799	11.7964	11.7955	11.7974	11.7957	11.7974	11.7957	11.7974	11.7957	11.7974	11.7961	11.797	11.7941	11.797	11.7941
4	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.896	11.8965	11.8965	11.8965	11.8975	11.8975	11.896	11.8954	11.8965	11.8955	11.8965	11.8955	11.8965	11.8955	11.8965	11.8954	11.8965	11.8943	11.8965	11.8943
5	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9416	11.942	11.942	11.942	11.9426	11.9426	11.9416	11.9412	11.942	11.9412	11.942	11.9412	11.942	11.9412	11.942	11.9408	11.942	11.9402	11.942	11.9402
6	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9623	11.9627	11.9627	11.9627	11.9632	11.9632	11.9623	11.962	11.9626	11.962	11.9626	11.962	11.9626	11.962	11.9626	11.9615	11.9627	11.9611	11.9627	11.9611
7	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9718	11.9721	11.9721	11.9721	11.9725	11.9725	11.9718	11.9715	11.972	11.9715	11.972	11.9715	11.972	11.9715	11.972	11.9709	11.9721	11.9706	11.9721	11.9706
8	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9763	11.9766	11.9766	11.9766	11.977	11.977	11.9763	11.976	11.9765	11.976	11.9765	11.976	11.9765	11.976	11.9765	11.9754	11.9766	11.9751	11.9766	11.9751
9	15.4626	4.27664	4.27664	4.27664	1.31635	1.31635	15.4626	15.4626	4.27664	4.27664	4.27664	4.27664	4.27664	4.27664	2.6327	2.6327	1.31635	1.31635	1.31635	1.31635	2.25229e-10	81706.2	81706.2	81706.2	53003.9	53003.9	100000	3817.99	96182	18293.8	96182	18293.8	96182	18293.8	96182	9916.13	90083.9	46996.1	90083.9	46996.1	11.9785	11.9788	11.9788	11.9788	11.9792	11.9792	11.9785	11.9783	11.9787	11.9783	11.9787	11.9783	11.9787	11.9783	11.9787	11.9777	11.9789	11.9773	11.9789	11.9773
