NetworkElement(id=1).FluidMassFlux	EFH3.FluidMassFlux
NetworkElement(id=1).InletNodePressure	EFH3.InletNodePressure
NetworkElement(id=10).FluidMassFlux	leitung2.FluidMassFlux
NetworkElement(id=10).InletNodePressure	leitung2.InletNodePressure
NetworkElement(id=11).FluidMassFlux	leitung2.FluidMassFlux
NetworkElement(id=11).InletNodePressure	leitung2.InletNodePressure
NetworkElement(id=12).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=12).InletNodePressure	leitung3.InletNodePressure
NetworkElement(id=13).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=13).InletNodePressure	leitung3.InletNodePressure
NetworkElement(id=14).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=14).InletNodePressure	leitung3.InletNodePressure
NetworkElement(id=15).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=15).InletNodePressure	leitung3.InletNodePressure
NetworkElement(id=16).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=16).InletNodePressure	leitung3.InletNodePressure
NetworkElement(id=17).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=17).InletNodePressure	leitung3.InletNodePressure
NetworkElement(id=18).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=18).InletNodePressure	leitung3.InletNodePressure
NetworkElement(id=19).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=19).InletNodePressure	leitung3.InletNodePressure
NetworkElement(id=2).FluidMassFlux	EFH1.FluidMassFlux
NetworkElement(id=2).InletNodePressure	EFH1.InletNodePressure
NetworkElement(id=20).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=20).InletNodePressure	leitung3.InletNodePressure
NetworkElement(id=21).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=21).InletNodePressure	leitung3.InletNodePressure
NetworkElement(id=4).FluidMassFlux	EFH1.FluidMassFlux
NetworkElement(id=4).InletNodePressure	EFH1.InletNodePressure
NetworkElement(id=6).FluidMassFlux	EFH1.FluidMassFlux
NetworkElement(id=6).InletNodePressure	EFH1.InletNodePressure
NetworkElement(id=7).FluidMassFlux	EFH1.FluidMassFlux
NetworkElement(id=7).InletNodePressure	EFH1.InletNodePressure
NetworkElement(id=8).FluidMassFlux	leitung1.FluidMassFlux
NetworkElement(id=8).InletNodePressure	leitung1.InletNodePressure
NetworkElement(id=9).FluidMassFlux	leitung1.FluidMassFlux
NetworkElement(id=9).InletNodePressure	leitung1.InletNodePressure
NetworkElement.FluidMassFlux	Quelle.FluidMassFlux
NetworkElement.InletNodePressure	Quelle.InletNodePressure
