                 Time [s]	     Steps	  RhsEvals	 LinSetups	  NIters	 NConvFails	  NErrFails	 Order	  StepSize [s]
          3623.7962523400	        81	       329	        75	     328	          5	          0	     2	     56.005446
          7203.9771232490	       280	       983	       221	     982	         32	          0	     1	     20.743202
         10820.5209359116	       511	      1674	       376	    1673	         58	          0	     1	     21.037961
         14402.8196917208	       737	      2354	       527	    2353	         83	          0	     1	     21.228057
         18005.1560558268	       800	      2641	       640	    2640	        104	          0	     1	    102.099683
         21661.8056051149	       859	      2908	       752	    2907	        126	          0	     1	    147.348631
         25203.4247198665	       971	      3428	       886	    3427	        145	          0	     1	     43.529054
         28825.3052727928	      1059	      3835	      1033	    3834	        177	          0	     1	     51.229454
         32410.1788875590	      1129	      4150	      1173	    4149	        212	          0	     1	     51.219109
         36045.2941150847	      1200	      4469	      1314	    4468	        247	          0	     1	     51.199008
         39629.1447842886	      1270	      4784	      1454	    4783	        282	          0	     1	     51.197680
         43213.0199185987	      1340	      5099	      1594	    5098	        317	          0	     1	     51.198179
         46848.0998154155	      1411	      5419	      1737	    5418	        353	          0	     1	     51.198324
         50431.9827487454	      1481	      5734	      1877	    5733	        388	          0	     1	     51.198340
         54015.8669871119	      1551	      6049	      2017	    6048	        423	          0	     1	     51.198357
         57650.9511450267	      1622	      6368	      2158	    6367	        458	          0	     1	     51.198380
         61234.8385712655	      1692	      6683	      2298	    6682	        493	          0	     1	     51.198403
         64818.7276783273	      1762	      6998	      2438	    6997	        528	          0	     1	     51.198427
         68402.6185224472	      1832	      7313	      2578	    7312	        563	          0	     1	     51.198453
         72037.7096375568	      1903	      7633	      2721	    7632	        599	          0	     1	     51.198479
         75621.6041450577	      1973	      7948	      2861	    7947	        634	          0	     1	     51.198506
         79205.5005524090	      2043	      8263	      3001	    8262	        669	          0	     1	     51.198534
         82840.5974683658	      2114	      8582	      3142	    8581	        704	          0	     1	     51.198562
         86424.4978492450	      2184	      8897	      3282	    8896	        739	          0	     1	     51.198591
         90008.4002745562	      2254	      9212	      3422	    9211	        774	          0	     1	     51.198621
         93643.5034406121	      2325	      9532	      3565	    9531	        810	          0	     1	     51.198651
         97227.4101172268	      2395	      9847	      3705	    9846	        845	          0	     1	     51.198682
        100811.3189637576	      2465	     10162	      3845	   10161	        880	          0	     1	     51.198714
        104446.4287663569	      2536	     10481	      3986	   10480	        915	          0	     1	     51.198745
        108030.3420997908	      2606	     10796	      4126	   10795	        950	          0	     1	     51.198778
        111614.2577110433	      2676	     11111	      4266	   11110	        985	          0	     1	     51.198811
        115249.3744789276	      2747	     11431	      4409	   11430	       1021	          0	     1	     51.198845
        118833.2947725276	      2817	     11746	      4549	   11745	       1056	          0	     1	     51.198878
        122417.2174292221	      2887	     12061	      4689	   12060	       1091	          0	     1	     51.198912
        126001.1424745418	      2957	     12376	      4829	   12375	       1126	          0	     1	     51.198946
        129636.2689092486	      3028	     12695	      4970	   12694	       1161	          0	     1	     51.198981
        133220.1988252972	      3098	     13010	      5110	   13009	       1196	          0	     1	     51.199016
        136804.1311825941	      3168	     13325	      5250	   13324	       1231	          0	     1	     51.199051
        140439.2650852124	      3239	     13645	      5393	   13644	       1267	          0	     1	     51.199087
        144023.2024050251	      3309	     13960	      5533	   13959	       1302	          0	     1	     51.199122
        147607.1422028987	      3379	     14275	      5673	   14274	       1337	          0	     1	     51.199158
        151242.2836753514	      3450	     14594	      5814	   14593	       1372	          0	     1	     51.199193
        154826.2284793500	      3520	     14909	      5954	   14908	       1407	          0	     1	     51.199229
        158410.1757711594	      3590	     15224	      6094	   15223	       1442	          0	     1	     51.199265
        162045.3248567819	      3661	     15544	      6237	   15543	       1478	          0	     1	     51.199301
        165629.2771630187	      3731	     15859	      6377	   15858	       1513	          0	     1	     51.199337
