   Simtime [s] 	   Realtime [s]	 Percentage [%]
          10800	      0.5473761	        0.41667
          25200	       1.179198	        0.97222
          39600	       1.791516	         1.5278
          54000	       2.391116	         2.0833
          68400	       2.989796	         2.6389
          82800	       3.582356	         3.1944
          97200	       4.177378	           3.75
         111600	       4.784316	         4.3056
         126000	       5.380315	         4.8611
         140400	       6.013837	         5.4167
         151200	       6.524501	         5.8333
         162000	       7.059253	           6.25
