NetworkElement(id=1).FluidMassFlux	EFH3.FluidMassFlux
NetworkElement(id=1).InletNodePressure	EFH3.InletNodePressure
NetworkElement(id=2).FluidMassFlux	EFH1.FluidMassFlux
NetworkElement(id=2).InletNodePressure	EFH1.InletNodePressure
NetworkElement(id=3).FluidMassFlux	leitung1.FluidMassFlux
NetworkElement(id=3).InletNodePressure	leitung1.InletNodePressure
NetworkElement(id=4).FluidMassFlux	leitung1.FluidMassFlux
NetworkElement(id=4).InletNodePressure	leitung1.InletNodePressure
NetworkElement(id=5).FluidMassFlux	leitung2.FluidMassFlux
NetworkElement(id=5).InletNodePressure	leitung2.InletNodePressure
NetworkElement(id=6).FluidMassFlux	leitung2.FluidMassFlux
NetworkElement(id=6).InletNodePressure	leitung2.InletNodePressure
NetworkElement(id=7).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=7).InletNodePressure	leitung3.InletNodePressure
NetworkElement(id=8).FluidMassFlux	leitung3.FluidMassFlux
NetworkElement(id=8).InletNodePressure	leitung3.InletNodePressure
NetworkElement.FluidMassFlux	Quelle.FluidMassFlux
NetworkElement.InletNodePressure	Quelle.InletNodePressure
