                 Time [s]	     Steps	  RhsEvals	 LinSetups	  NIters	 NConvFails	  NErrFails	 Order	  StepSize [s]
          3689.9671813628	        99	       104	        14	     103	          0	          0	     3	    120.201632
          7347.8093796329	       112	       118	        17	     117	          0	          0	     3	    711.954188
         11206.0608976907	       116	       123	        18	     122	          0	          0	     3	   1217.171571
         14857.5756115303	       119	       126	        18	     125	          0	          0	     3	   1217.171571
         18509.0903253700	       122	       129	        18	     128	          0	          0	     3	   1217.171571
         21838.0366212348	       124	       131	        19	     130	          0	          0	     4	   2111.774725
         26061.5860704048	       126	       133	        19	     132	          0	          0	     4	   2111.774725
         29395.6626138461	       127	       134	        20	     133	          0	          0	     4	   3334.076543
         32729.7391572875	       128	       136	        20	     135	          0	          0	     4	   3334.076543
         36063.8157007288	       129	       137	        20	     136	          0	          0	     4	   3334.076543
         42997.8922441702	       131	       139	        20	     138	          0	          0	     3	   3600.000000
         46597.8922441702	       132	       140	        20	     139	          0	          0	     3	   3600.000000
         50197.8922441702	       133	       141	        20	     140	          0	          0	     3	   3600.000000
         53797.8922441702	       134	       142	        20	     141	          0	          0	     3	   3600.000000
         57397.8922441702	       135	       143	        21	     142	          0	          0	     2	   3600.000000
         60997.8922441702	       136	       144	        21	     143	          0	          0	     2	   3600.000000
         64597.8922441702	       137	       145	        21	     144	          0	          0	     2	   3600.000000
         68197.8922441702	       138	       146	        22	     145	          0	          0	     1	   3600.000000
         71797.8922441702	       139	       147	        22	     146	          0	          0	     1	   3600.000000
         75397.8922441702	       140	       148	        22	     147	          0	          0	     1	   3600.000000
         78997.8922441702	       141	       149	        22	     148	          0	          0	     1	   3600.000000
         82597.8922441702	       142	       150	        22	     149	          0	          0	     1	   3600.000000
         86197.8922441702	       143	       151	        22	     150	          0	          0	     1	   3600.000000
         89797.8922441702	       144	       152	        22	     151	          0	          0	     1	   3600.000000
         93397.8922441702	       145	       153	        22	     152	          0	          0	     1	   3600.000000
         96997.8922441702	       146	       154	        22	     153	          0	          0	     1	   3600.000000
        100597.8922441702	       147	       155	        22	     154	          0	          0	     1	   3600.000000
        104197.8922441702	       148	       156	        22	     155	          0	          0	     1	   3600.000000
        107797.8922441702	       149	       157	        22	     156	          0	          0	     1	   3600.000000
        111397.8922441702	       150	       158	        22	     157	          0	          0	     1	   3600.000000
        114997.8922441702	       151	       159	        22	     158	          0	          0	     1	   3600.000000
        118597.8922441702	       152	       160	        22	     159	          0	          0	     1	   3600.000000
        122197.8922441702	       153	       161	        22	     160	          0	          0	     1	   3600.000000
        125797.8922441702	       154	       162	        22	     161	          0	          0	     1	   3600.000000
        129397.8922441702	       155	       163	        22	     162	          0	          0	     1	   3600.000000
        132997.8922441702	       156	       164	        22	     163	          0	          0	     1	   3600.000000
        136597.8922441702	       157	       165	        22	     164	          0	          0	     1	   3600.000000
        140197.8922441702	       158	       166	        23	     165	          0	          0	     1	   3600.000000
        143797.8922441702	       159	       167	        23	     166	          0	          0	     1	   3600.000000
        147397.8922441702	       160	       168	        23	     167	          0	          0	     1	   3600.000000
        150997.8922441702	       161	       169	        23	     168	          0	          0	     1	   3600.000000
        154597.8922441702	       162	       170	        23	     169	          0	          0	     1	   3600.000000
        158197.8922441702	       163	       171	        23	     170	          0	          0	     1	   3600.000000
        161797.8922441702	       164	       172	        23	     171	          0	          0	     1	   3600.000000
        165397.8922441702	       165	       173	        23	     172	          0	          0	     1	   3600.000000
        168997.8922441702	       166	       174	        23	     173	          0	          0	     1	   3600.000000
        172597.8922441702	       167	       175	        23	     174	          0	          0	     1	   3600.000000
        176197.8922441702	       168	       176	        23	     175	          0	          0	     1	   3600.000000
        179797.8922441702	       169	       177	        23	     176	          0	          0	     1	   3600.000000
        183397.8922441702	       170	       178	        23	     177	          0	          0	     1	   3600.000000
        186997.8922441702	       171	       179	        23	     178	          0	          0	     1	   3600.000000
        190597.8922441702	       172	       180	        23	     179	          0	          0	     1	   3600.000000
        194197.8922441702	       173	       181	        23	     180	          0	          0	     1	   3600.000000
        197797.8922441702	       174	       182	        23	     181	          0	          0	     1	   3600.000000
        201397.8922441702	       175	       183	        23	     182	          0	          0	     1	   3600.000000
        204997.8922441702	       176	       184	        23	     183	          0	          0	     1	   3600.000000
        208597.8922441702	       177	       185	        23	     184	          0	          0	     1	   3600.000000
        212197.8922441702	       178	       186	        24	     185	          0	          0	     1	   3600.000000
        215797.8922441702	       179	       187	        24	     186	          0	          0	     1	   3600.000000
        219397.8922441702	       180	       188	        24	     187	          0	          0	     1	   3600.000000
        222997.8922441702	       181	       189	        24	     188	          0	          0	     1	   3600.000000
        226597.8922441702	       182	       190	        24	     189	          0	          0	     1	   3600.000000
        230197.8922441702	       183	       191	        24	     190	          0	          0	     1	   3600.000000
        233797.8922441702	       184	       192	        24	     191	          0	          0	     1	   3600.000000
        237397.8922441702	       185	       193	        24	     192	          0	          0	     1	   3600.000000
        240997.8922441702	       186	       194	        24	     193	          0	          0	     1	   3600.000000
        244597.8922441702	       187	       195	        24	     194	          0	          0	     1	   3600.000000
        248197.8922441702	       188	       196	        24	     195	          0	          0	     1	   3600.000000
        251797.8922441702	       189	       197	        24	     196	          0	          0	     1	   3600.000000
        255397.8922441702	       190	       198	        24	     197	          0	          0	     1	   3600.000000
        258997.8922441702	       191	       199	        24	     198	          0	          0	     1	   3600.000000
        262597.8922441702	       192	       200	        24	     199	          0	          0	     1	   3600.000000
        266197.8922441702	       193	       201	        24	     200	          0	          0	     1	   3600.000000
        269797.8922441702	       194	       202	        24	     201	          0	          0	     1	   3600.000000
        273397.8922441702	       195	       203	        24	     202	          0	          0	     1	   3600.000000
        276997.8922441702	       196	       204	        24	     203	          0	          0	     1	   3600.000000
        280597.8922441702	       197	       205	        24	     204	          0	          0	     1	   3600.000000
        284197.8922441702	       198	       206	        25	     205	          0	          0	     1	   3600.000000
        287797.8922441702	       199	       207	        25	     206	          0	          0	     1	   3600.000000
        291397.8922441702	       200	       208	        25	     207	          0	          0	     1	   3600.000000
        294997.8922441702	       201	       209	        25	     208	          0	          0	     1	   3600.000000
        298597.8922441702	       202	       210	        25	     209	          0	          0	     1	   3600.000000
        302197.8922441702	       203	       211	        25	     210	          0	          0	     1	   3600.000000
        305797.8922441702	       204	       212	        25	     211	          0	          0	     1	   3600.000000
        309397.8922441702	       205	       213	        25	     212	          0	          0	     1	   3600.000000
        312997.8922441702	       206	       214	        25	     213	          0	          0	     1	   3600.000000
        316597.8922441702	       207	       215	        25	     214	          0	          0	     1	   3600.000000
        320197.8922441702	       208	       216	        25	     215	          0	          0	     1	   3600.000000
        323797.8922441702	       209	       217	        25	     216	          0	          0	     1	   3600.000000
        327397.8922441702	       210	       218	        25	     217	          0	          0	     1	   3600.000000
        330997.8922441702	       211	       219	        25	     218	          0	          0	     1	   3600.000000
        334597.8922441702	       212	       220	        25	     219	          0	          0	     1	   3600.000000
        338197.8922441702	       213	       221	        25	     220	          0	          0	     1	   3600.000000
        341797.8922441702	       214	       222	        25	     221	          0	          0	     1	   3600.000000
        345397.8922441702	       215	       223	        25	     222	          0	          0	     1	   3600.000000
        348997.8922441702	       216	       224	        25	     223	          0	          0	     1	   3600.000000
        352597.8922441702	       217	       225	        25	     224	          0	          0	     1	   3600.000000
        356197.8922441702	       218	       226	        26	     225	          0	          0	     1	   3600.000000
        359797.8922441702	       219	       227	        26	     226	          0	          0	     1	   3600.000000
        363397.8922441702	       220	       228	        26	     227	          0	          0	     1	   3600.000000
        366997.8922441702	       221	       229	        26	     228	          0	          0	     1	   3600.000000
        370597.8922441702	       222	       230	        26	     229	          0	          0	     1	   3600.000000
        374197.8922441702	       223	       231	        26	     230	          0	          0	     1	   3600.000000
        377797.8922441702	       224	       232	        26	     231	          0	          0	     1	   3600.000000
        381397.8922441702	       225	       233	        26	     232	          0	          0	     1	   3600.000000
        384997.8922441702	       226	       234	        26	     233	          0	          0	     1	   3600.000000
        388597.8922441702	       227	       235	        26	     234	          0	          0	     1	   3600.000000
        392197.8922441702	       228	       236	        26	     235	          0	          0	     1	   3600.000000
        395797.8922441702	       229	       237	        26	     236	          0	          0	     1	   3600.000000
        399397.8922441702	       230	       238	        26	     237	          0	          0	     1	   3600.000000
        402997.8922441702	       231	       239	        26	     238	          0	          0	     1	   3600.000000
        406597.8922441702	       232	       240	        26	     239	          0	          0	     1	   3600.000000
        410197.8922441702	       233	       241	        26	     240	          0	          0	     1	   3600.000000
        413797.8922441702	       234	       242	        26	     241	          0	          0	     1	   3600.000000
        417397.8922441702	       235	       243	        26	     242	          0	          0	     1	   3600.000000
        420997.8922441702	       236	       244	        26	     243	          0	          0	     1	   3600.000000
        424597.8922441702	       237	       245	        26	     244	          0	          0	     1	   3600.000000
        428197.8922441702	       238	       246	        27	     245	          0	          0	     1	   3600.000000
        431797.8922441702	       239	       247	        27	     246	          0	          0	     1	   3600.000000
        435397.8922441702	       240	       248	        27	     247	          0	          0	     1	   3600.000000
        438997.8922441702	       241	       249	        27	     248	          0	          0	     1	   3600.000000
        442597.8922441702	       242	       250	        27	     249	          0	          0	     1	   3600.000000
        446197.8922441702	       243	       251	        27	     250	          0	          0	     1	   3600.000000
        449797.8922441702	       244	       252	        27	     251	          0	          0	     1	   3600.000000
        453397.8922441702	       245	       253	        27	     252	          0	          0	     1	   3600.000000
        456997.8922441702	       246	       254	        27	     253	          0	          0	     1	   3600.000000
        460597.8922441702	       247	       255	        27	     254	          0	          0	     1	   3600.000000
        464197.8922441702	       248	       256	        27	     255	          0	          0	     1	   3600.000000
        467797.8922441702	       249	       257	        27	     256	          0	          0	     1	   3600.000000
        471397.8922441702	       250	       258	        27	     257	          0	          0	     1	   3600.000000
        474997.8922441702	       251	       259	        27	     258	          0	          0	     1	   3600.000000
        478597.8922441702	       252	       260	        27	     259	          0	          0	     1	   3600.000000
        482197.8922441702	       253	       261	        27	     260	          0	          0	     1	   3600.000000
        485797.8922441702	       254	       262	        27	     261	          0	          0	     1	   3600.000000
        489397.8922441702	       255	       263	        27	     262	          0	          0	     1	   3600.000000
        492997.8922441702	       256	       264	        27	     263	          0	          0	     1	   3600.000000
        496597.8922441702	       257	       265	        27	     264	          0	          0	     1	   3600.000000
        500197.8922441702	       258	       266	        28	     265	          0	          0	     1	   3600.000000
        503797.8922441702	       259	       267	        28	     266	          0	          0	     1	   3600.000000
        507397.8922441702	       260	       268	        28	     267	          0	          0	     1	   3600.000000
        510997.8922441702	       261	       269	        28	     268	          0	          0	     1	   3600.000000
        514597.8922441702	       262	       270	        28	     269	          0	          0	     1	   3600.000000
        518197.8922441702	       263	       271	        28	     270	          0	          0	     1	   3600.000000
        521797.8922441702	       264	       272	        28	     271	          0	          0	     1	   3600.000000
        525397.8922441702	       265	       273	        28	     272	          0	          0	     1	   3600.000000
        528997.8922441702	       266	       274	        28	     273	          0	          0	     1	   3600.000000
        532597.8922441702	       267	       275	        28	     274	          0	          0	     1	   3600.000000
        536197.8922441702	       268	       276	        28	     275	          0	          0	     1	   3600.000000
        539797.8922441702	       269	       277	        28	     276	          0	          0	     1	   3600.000000
        543397.8922441702	       270	       278	        28	     277	          0	          0	     1	   3600.000000
        546997.8922441702	       271	       279	        28	     278	          0	          0	     1	   3600.000000
        550597.8922441702	       272	       280	        28	     279	          0	          0	     1	   3600.000000
        554197.8922441702	       273	       281	        28	     280	          0	          0	     1	   3600.000000
        557797.8922441702	       274	       282	        28	     281	          0	          0	     1	   3600.000000
        561397.8922441702	       275	       283	        28	     282	          0	          0	     1	   3600.000000
        564997.8922441702	       276	       284	        28	     283	          0	          0	     1	   3600.000000
        568597.8922441702	       277	       285	        28	     284	          0	          0	     1	   3600.000000
        572197.8922441702	       278	       286	        29	     285	          0	          0	     1	   3600.000000
        575797.8922441702	       279	       287	        29	     286	          0	          0	     1	   3600.000000
        579397.8922441702	       280	       288	        29	     287	          0	          0	     1	   3600.000000
        582997.8922441702	       281	       289	        29	     288	          0	          0	     1	   3600.000000
        586597.8922441702	       282	       290	        29	     289	          0	          0	     1	   3600.000000
        590197.8922441702	       283	       291	        29	     290	          0	          0	     1	   3600.000000
        593797.8922441702	       284	       292	        29	     291	          0	          0	     1	   3600.000000
        597397.8922441702	       285	       293	        29	     292	          0	          0	     1	   3600.000000
        600997.8922441702	       286	       294	        29	     293	          0	          0	     1	   3600.000000
        604597.8922441702	       287	       295	        29	     294	          0	          0	     1	   3600.000000
