   Simtime [s] 	   Realtime [s]	 Percentage [%]
           3600	       3.538269	        0.13889
          10800	       4.303296	        0.41667
          25200	       4.824317	        0.97222
          43200	        5.34227	         1.6667
          64800	       5.941218	            2.5
          86400	       6.516704	         3.3333
         108000	       7.040996	         4.1667
         136800	       7.594029	         5.2778
         165600	       8.148088	         6.3889
         194400	       8.681381	            7.5
         216000	       9.241842	         8.3333
         244800	       9.797151	         9.4444
         273600	       10.30596	         10.556
         302400	        10.8258	         11.667
         306000	       12.23029	         11.806
         334800	        12.7499	         12.917
         363600	       13.29916	         14.028
         392400	       13.83192	         15.139
         421200	       14.37319	          16.25
         439200	       14.89157	         16.944
         468000	       15.43854	         18.056
         496800	       15.97712	         19.167
         525600	       16.50519	         20.278
         550800	       17.03731	          21.25
         572400	       17.55818	         22.083
         594000	        18.1104	         22.917
         615600	       18.63841	          23.75
         637200	       19.18701	         24.583
         651600	        19.7635	         25.139
         673200	       20.33336	         25.972
         694800	       20.89127	         26.806
         716400	       21.44822	         27.639
         738000	       21.99665	         28.472
         748800	       24.95189	         28.889
         770400	       25.50077	         29.722
         792000	       26.09872	         30.556
         813600	       26.65431	         31.389
         835200	       27.24004	         32.222
         856800	       27.90556	         33.056
         878400	        28.4349	         33.889
         900000	       28.98004	         34.722
         925200	       29.52015	         35.694
         950400	       30.05994	         36.667
         979200	       30.61019	         37.778
        1008000	       31.13273	         38.889
        1036800	       31.69227	             40
        1065600	       32.24052	         41.111
        1083600	       32.74185	         41.806
        1112400	       33.30295	         42.917
        1141200	       33.87244	         44.028
        1170000	       34.44051	         45.139
        1188000	       37.61428	         45.833
        1206000	       38.18987	         46.528
        1227600	        38.7452	         47.361
        1249200	       39.29847	         48.194
        1270800	       39.88175	         49.028
        1288800	       40.44485	         49.722
        1317600	       40.98839	         50.833
        1346400	       41.53136	         51.944
        1375200	       42.07778	         53.056
        1404000	       42.61071	         54.167
        1429200	       43.12038	         55.139
        1458000	       43.64797	          56.25
        1486800	       44.18394	         57.361
        1504800	        44.6973	         58.056
        1526400	       45.27198	         58.889
        1548000	       45.80204	         59.722
        1573200	       46.33661	         60.694
        1602000	       46.87795	         61.806
        1630800	        47.4078	         62.917
        1645200	       49.72657	         63.472
        1674000	       50.28427	         64.583
        1702800	       50.81619	         65.694
        1724400	       51.36884	         66.528
        1753200	       51.91297	         67.639
        1782000	       52.45097	          68.75
        1803600	       52.97333	         69.583
        1825200	       53.50246	         70.417
        1854000	       54.06701	         71.528
        1882800	       54.60666	         72.639
        1908000	       55.11408	         73.611
        1936800	       55.79023	         74.722
        1965600	       56.33237	         75.833
        1994400	       56.88203	         76.944
        2023200	        57.4271	         78.056
        2052000	       57.96097	         79.167
        2080800	       58.49037	         80.278
        2109600	       59.03025	         81.389
        2138400	       59.56964	           82.5
        2149200	       62.48034	         82.917
        2163600	       63.01975	         83.472
        2185200	       63.56242	         84.306
        2206800	       64.10044	         85.139
        2228400	       64.63408	         85.972
        2250000	       65.20769	         86.806
        2271600	       65.75242	         87.639
        2300400	       66.31429	          88.75
        2329200	       66.85115	         89.861
        2358000	       67.38804	         90.972
        2379600	       67.94406	         91.806
        2408400	       68.48302	         92.917
        2437200	        69.0185	         94.028
        2466000	       69.57022	         95.139
        2494800	       70.13522	          96.25
        2523600	       70.67538	         97.361
        2552400	        71.2091	         98.472
        2581200	       71.75605	         99.583
