time [h]	Qevap [W]
0	16800.00
1	16800.00
2	16800.00
3	0.00
4	0.00
5	0.00
6	0.00
7	16800.00
8	16800.00
9	16800.00
10	16800.00
11	0.00
12	0.00
13	16800.00
14	16800.00
15	16800.00
16	16800.00
17	0.00
18	0.00
19	16800.00
20	16800.00
21	16800.00
22	16800.00
23	16800.00
24	16800.00
25	0.00
26	0.00
27	16800.00
28	16800.00
29	16800.00
30	16800.00
31	0.00
32	0.00
33	16800.00
34	16800.00
35	16800.00
36	16800.00
37	16800.00
38	0.00
39	0.00
40	16800.00
41	16800.00
42	16800.00
43	16800.00
44	16800.00
45	0.00
46	0.00
47	16800.00
48	16800.00
49	16800.00
50	16800.00
51	0.00
52	0.00
53	0.00
54	0.00
55	16800.00
56	16800.00
57	16800.00
58	16800.00
59	16800.00
60	16800.00
61	16800.00
62	0.00
63	0.00
64	0.00
65	0.00
66	16800.00
67	16800.00
68	16800.00
69	16800.00
70	16800.00
71	16800.00
72	0.00
73	0.00
74	0.00
75	0.00
76	0.00
77	0.00
78	0.00
79	16800.00
80	16800.00
81	16800.00
82	16800.00
83	16800.00
84	0.00
85	0.00
86	0.00
87	16800.00
88	16800.00
89	16800.00
90	16800.00
91	0.00
92	0.00
93	16800.00
94	16800.00
95	16800.00
96	16800.00
97	16800.00
98	0.00
99	0.00
100	0.00
101	0.00
102	0.00
103	0.00
104	0.00
105	16800.00
106	16800.00
107	16800.00
108	16800.00
109	16800.00
110	0.00
111	0.00
112	16800.00
113	16800.00
114	16800.00
115	16800.00
116	16800.00
117	16800.00
118	0.00
119	0.00
120	0.00
121	0.00
122	0.00
123	0.00
124	0.00
125	0.00
126	0.00
127	0.00
128	16800.00
129	16800.00
130	16800.00
131	16800.00
132	0.00
133	0.00
134	0.00
135	0.00
136	0.00
137	16800.00
138	16800.00
139	16800.00
140	16800.00
141	16800.00
142	0.00
143	0.00
144	0.00
145	0.00
146	0.00
147	0.00
148	0.00
149	0.00
150	0.00
151	16800.00
152	16800.00
153	16800.00
154	16800.00
155	16800.00
156	16800.00
157	0.00
158	0.00
159	0.00
160	0.00
161	0.00
162	0.00
163	0.00
164	16800.00
165	16800.00
166	16800.00
167	16800.00
168	0.00
169	0.00
170	0.00
171	0.00
172	0.00
173	0.00
174	0.00
175	16800.00
176	16800.00
177	16800.00
178	16800.00
179	16800.00
180	0.00
181	0.00
182	16800.00
183	16800.00
184	16800.00
185	16800.00
186	16800.00
187	0.00
188	0.00
189	0.00
190	16800.00
191	16800.00
192	16800.00
193	16800.00
194	0.00
195	0.00
196	0.00
197	0.00
198	0.00
199	16800.00
200	16800.00
201	16800.00
202	16800.00
203	0.00
204	0.00
205	16800.00
206	16800.00
207	16800.00
208	16800.00
209	0.00
210	0.00
211	16800.00
212	16800.00
213	16800.00
214	16800.00
215	0.00
216	0.00
217	0.00
218	0.00
219	0.00
220	0.00
221	0.00
222	16800.00
223	16800.00
224	16800.00
225	16800.00
226	16800.00
227	16800.00
228	0.00
229	0.00
230	16800.00
231	16800.00
232	16800.00
233	16800.00
234	0.00
235	0.00
236	16800.00
237	16800.00
238	16800.00
239	16800.00
240	16800.00
241	0.00
242	0.00
243	16800.00
244	16800.00
245	16800.00
246	16800.00
247	0.00
248	0.00
249	16800.00
250	16800.00
251	16800.00
252	16800.00
253	0.00
254	0.00
255	16800.00
256	16800.00
257	16800.00
258	16800.00
259	0.00
260	0.00
261	16800.00
262	16800.00
263	16800.00
264	16800.00
265	16800.00
266	0.00
267	0.00
268	16800.00
269	16800.00
270	16800.00
271	16800.00
272	0.00
273	0.00
274	16800.00
275	16800.00
276	16800.00
277	16800.00
278	16800.00
279	16800.00
280	16800.00
281	0.00
282	0.00
283	16800.00
284	16800.00
285	16800.00
286	16800.00
287	0.00
288	0.00
289	16800.00
290	16800.00
291	16800.00
292	16800.00
293	0.00
294	0.00
295	16800.00
296	16800.00
297	16800.00
298	16800.00
299	16800.00
300	0.00
301	0.00
302	16800.00
303	16800.00
304	16800.00
305	16800.00
306	16800.00
307	0.00
308	0.00
309	16800.00
310	16800.00
311	16800.00
312	16800.00
313	16800.00
314	0.00
315	0.00
316	16800.00
317	16800.00
318	16800.00
319	16800.00
320	16800.00
321	0.00
322	0.00
323	16800.00
324	16800.00
325	16800.00
326	16800.00
327	16800.00
328	0.00
329	0.00
330	16800.00
331	16800.00
332	16800.00
333	16800.00
334	16800.00
335	0.00
336	0.00
337	16800.00
338	16800.00
339	16800.00
340	16800.00
341	16800.00
342	16800.00
343	0.00
344	0.00
345	16800.00
346	16800.00
347	16800.00
348	16800.00
349	16800.00
350	0.00
351	0.00
352	16800.00
353	16800.00
354	16800.00
355	16800.00
356	0.00
357	0.00
358	16800.00
359	16800.00
360	16800.00
361	16800.00
362	16800.00
363	16800.00
364	0.00
365	0.00
366	16800.00
367	16800.00
368	16800.00
369	16800.00
370	16800.00
371	0.00
372	0.00
373	16800.00
374	16800.00
375	16800.00
376	16800.00
377	16800.00
378	16800.00
379	0.00
380	0.00
381	16800.00
382	16800.00
383	16800.00
384	16800.00
385	16800.00
386	16800.00
387	16800.00
388	0.00
389	0.00
390	16800.00
391	16800.00
392	16800.00
393	16800.00
394	16800.00
395	0.00
396	0.00
397	16800.00
398	16800.00
399	16800.00
400	16800.00
401	16800.00
402	0.00
403	0.00
404	16800.00
405	16800.00
406	16800.00
407	16800.00
408	0.00
409	0.00
410	16800.00
411	16800.00
412	16800.00
413	16800.00
414	16800.00
415	16800.00
416	0.00
417	0.00
418	16800.00
419	16800.00
420	16800.00
421	16800.00
422	0.00
423	0.00
424	16800.00
425	16800.00
426	16800.00
427	16800.00
428	0.00
429	0.00
430	16800.00
431	16800.00
432	16800.00
433	16800.00
434	16800.00
435	0.00
436	0.00
437	0.00
438	0.00
439	0.00
440	16800.00
441	16800.00
442	16800.00
443	16800.00
444	16800.00
445	16800.00
446	0.00
447	0.00
448	0.00
449	0.00
450	16800.00
451	16800.00
452	16800.00
453	16800.00
454	0.00
455	0.00
456	16800.00
457	16800.00
458	16800.00
459	0.00
460	0.00
461	0.00
462	0.00
463	16800.00
464	16800.00
465	16800.00
466	16800.00
467	16800.00
468	0.00
469	0.00
470	16800.00
471	16800.00
472	16800.00
473	16800.00
474	16800.00
475	0.00
476	0.00
477	16800.00
478	16800.00
479	16800.00
480	16800.00
481	0.00
482	0.00
483	0.00
484	0.00
485	0.00
486	0.00
487	16800.00
488	16800.00
489	16800.00
490	16800.00
491	0.00
492	0.00
493	16800.00
494	16800.00
495	16800.00
496	16800.00
497	0.00
498	0.00
499	16800.00
500	16800.00
501	16800.00
502	16800.00
503	16800.00
504	16800.00
505	0.00
506	0.00
507	0.00
508	0.00
509	0.00
510	0.00
511	0.00
512	16800.00
513	16800.00
514	16800.00
515	16800.00
516	16800.00
517	16800.00
518	16800.00
519	0.00
520	0.00
521	16800.00
522	16800.00
523	16800.00
524	16800.00
525	0.00
526	0.00
527	16800.00
528	16800.00
529	16800.00
530	16800.00
531	0.00
532	0.00
533	0.00
534	0.00
535	16800.00
536	16800.00
537	16800.00
538	16800.00
539	16800.00
540	0.00
541	0.00
542	16800.00
543	16800.00
