time [h]	Qevap [W]
0	4666.67
1	4666.67
2	4666.67
3	0.00
4	0.00
5	0.00
6	0.00
7	4666.67
8	4666.67
9	4666.67
10	4666.67
11	4666.67
12	0.00
13	0.00
14	4666.67
15	4666.67
16	4666.67
17	4666.67
18	4666.67
19	4666.67
20	0.00
21	0.00
22	4666.67
23	4666.67
24	4666.67
25	4666.67
26	0.00
27	0.00
28	0.00
29	0.00
30	0.00
31	4666.67
32	4666.67
33	4666.67
34	4666.67
35	0.00
36	0.00
37	4666.67
38	4666.67
39	4666.67
40	4666.67
41	4666.67
42	0.00
43	0.00
44	0.00
45	4666.67
46	4666.67
47	4666.67
48	4666.67
49	0.00
50	0.00
51	0.00
52	0.00
53	0.00
54	0.00
55	0.00
56	4666.67
57	4666.67
58	4666.67
59	4666.67
60	4666.67
61	4666.67
62	0.00
63	0.00
64	0.00
65	0.00
66	0.00
67	4666.67
68	4666.67
69	4666.67
70	4666.67
71	0.00
72	0.00
73	0.00
74	0.00
75	0.00
76	0.00
77	0.00
78	0.00
79	4666.67
80	4666.67
81	4666.67
82	4666.67
83	4666.67
84	0.00
85	0.00
86	0.00
87	4666.67
88	4666.67
89	4666.67
90	4666.67
91	4666.67
92	0.00
93	0.00
94	0.00
95	4666.67
96	4666.67
97	4666.67
98	0.00
99	0.00
100	0.00
101	0.00
102	0.00
103	0.00
104	4666.67
105	4666.67
106	4666.67
107	4666.67
108	0.00
109	0.00
110	0.00
111	4666.67
112	4666.67
113	4666.67
114	4666.67
115	4666.67
116	4666.67
117	0.00
118	0.00
119	0.00
120	0.00
121	0.00
122	0.00
123	0.00
124	0.00
125	0.00
126	0.00
127	4666.67
128	4666.67
129	4666.67
130	4666.67
131	4666.67
132	0.00
133	0.00
134	0.00
135	0.00
136	0.00
137	0.00
138	0.00
139	4666.67
140	4666.67
141	4666.67
142	4666.67
143	4666.67
144	0.00
145	0.00
146	0.00
147	0.00
148	0.00
149	0.00
150	0.00
151	0.00
152	0.00
153	4666.67
154	4666.67
155	4666.67
156	4666.67
157	0.00
158	0.00
159	0.00
160	0.00
161	0.00
162	0.00
163	0.00
164	4666.67
165	4666.67
166	4666.67
167	4666.67
168	0.00
169	0.00
170	0.00
171	0.00
172	0.00
173	0.00
174	0.00
175	4666.67
176	4666.67
177	4666.67
178	4666.67
179	0.00
180	0.00
181	0.00
182	0.00
183	4666.67
184	4666.67
185	4666.67
186	4666.67
187	4666.67
188	4666.67
189	0.00
190	0.00
191	0.00
192	0.00
193	0.00
194	0.00
195	0.00
196	0.00
197	0.00
198	4666.67
199	4666.67
200	4666.67
201	4666.67
202	0.00
203	0.00
204	4666.67
205	4666.67
206	4666.67
207	4666.67
208	4666.67
209	0.00
210	0.00
211	0.00
212	0.00
213	4666.67
214	4666.67
215	4666.67
216	4666.67
217	0.00
218	0.00
219	0.00
220	0.00
221	0.00
222	0.00
223	4666.67
224	4666.67
225	4666.67
226	4666.67
227	0.00
228	0.00
229	0.00
230	4666.67
231	4666.67
232	4666.67
233	4666.67
234	0.00
235	0.00
236	4666.67
237	4666.67
238	4666.67
239	4666.67
240	4666.67
241	0.00
242	0.00
243	0.00
244	0.00
245	0.00
246	0.00
247	4666.67
248	4666.67
249	4666.67
250	4666.67
251	4666.67
252	4666.67
253	4666.67
254	0.00
255	0.00
256	0.00
257	4666.67
258	4666.67
259	4666.67
260	4666.67
261	0.00
262	0.00
263	4666.67
264	4666.67
265	4666.67
266	4666.67
267	0.00
268	0.00
269	0.00
270	0.00
271	4666.67
272	4666.67
273	4666.67
274	4666.67
275	0.00
276	0.00
277	4666.67
278	4666.67
279	4666.67
280	4666.67
281	4666.67
282	4666.67
283	0.00
284	0.00
285	0.00
