Time [h]	Azimuth [Deg]	Altitude [Deg]	59 [---]	60 [---]	61 [---]	62 [---]	63 [---]	64 [---]	65 [---]	66 [---]	79 [---]	80 [---]	81 [---]
0.000000	354.849	-60.6312	0	0	0	0	0	0	0	0	0	0	0
1.000000	22.4385	-59.2391	0	0	0	0	0	0	0	0	0	0	0
2.000000	45.8743	-54.0728	0	0	0	0	0	0	0	0	0	0	0
3.000000	64.1097	-46.5697	0	0	0	0	0	0	0	0	0	0	0
4.000000	78.6636	-37.9041	0	0	0	0	0	0	0	0	0	0	0
5.000000	91.1015	-28.801	0	0	0	0	0	0	0	0	0	0	0
6.000000	102.513	-19.7257	0	0	0	0	0	0	0	0	0	0	0
7.000000	113.632	-11.0351	0	0	0	0	0	0	0	0	0	0	0
8.000000	124.979	-3.0608	0	0	0	0	0	0	0	0	0	0	0
9.000000	136.922	3.84915	0	1	0	0.539216	0.833333	0.37037	1	0	1	1	1
10.000000	149.67	9.32061	0	1	0	0.539216	0.648148	0	1	0	1	1	1
11.000000	163.227	12.9814	0	1	0	0.539216	0.555556	0	1	0	0.84	0.84	0.84
12.000000	177.339	14.5301	0	1	0	0.539216	0.518519	0	1	0	0.76	0.76	0.76
13.000000	191.548	13.8237	0	1	0	0	0.492989	0	1	1	0.8	0.8	0.8
14.000000	205.357	10.9288	0	1	0	0	0.509127	0	1	1	0.485	0.96	0.96
15.000000	218.425	6.09691	0	1	0	0	0.45	0	1	1	0	0.143333	1
16.000000	230.658	-0.31622	0	0	0	0	0	0	0	0	0	0	0
17.000000	242.198	-7.93149	0	0	0	0	0	0	0	0	0	0	0
18.000000	253.356	-16.3901	0	0	0	0	0	0	0	0	0	0	0
19.000000	264.593	-25.3569	0	0	0	0	0	0	0	0	0	0	0
20.000000	276.551	-34.4911	0	0	0	0	0	0	0	0	0	0	0
21.000000	290.166	-43.3805	0	0	0	0	0	0	0	0	0	0	0
22.000000	306.823	-51.4189	0	0	0	0	0	0	0	0	0	0	0
23.000000	328.212	-57.6151	0	0	0	0	0	0	0	0	0	0	0
24.000000	354.648	-60.5508	0	0	0	0	0	0	0	0	0	0	0
25.000000	22.2066	-59.1931	0	0	0	0	0	0	0	0	0	0	0
26.000000	45.659	-54.0561	0	0	0	0	0	0	0	0	0	0	0
27.000000	63.9242	-46.571	0	0	0	0	0	0	0	0	0	0	0
28.000000	78.5022	-37.9139	0	0	0	0	0	0	0	0	0	0	0
29.000000	90.9562	-28.8127	0	0	0	0	0	0	0	0	0	0	0
30.000000	102.377	-19.7346	0	0	0	0	0	0	0	0	0	0	0
31.000000	113.502	-11.0372	0	0	0	0	0	0	0	0	0	0	0
32.000000	124.851	-3.05263	0	0	0	0	0	0	0	0	0	0	0
33.000000	136.795	3.87088	0	0	0	0	0	0	0	0	0	0	0
34.000000	149.546	9.35866	0	1	0	0.539216	0.648148	0	1	0	1	1	1
35.000000	163.108	13.0375	0	1	0	0.539216	0.555556	0	1	0	0.84	0.84	0.84
36.000000	177.23	14.6044	0	1	0	0.539216	0.518519	0	1	0	0.76	0.76	0.76
37.000000	191.454	13.9145	0	1	0	0	0.492989	0	1	1	0.8	0.8	0.8
38.000000	205.279	11.0329	0	1	0	0	0.509127	0	1	1	0.485	0.96	0.96
39.000000	218.363	6.2107	0	1	0	0	0.45	0	1	1	0	0.143333	1
40.000000	230.611	-0.195983	0	0	0	0	0	0	0	0	0	0	0
41.000000	242.161	-7.8073	0	0	0	0	0	0	0	0	0	0	0
42.000000	253.326	-16.2637	0	0	0	0	0	0	0	0	0	0	0
43.000000	264.566	-25.2295	0	0	0	0	0	0	0	0	0	0	0
44.000000	276.522	-34.3635	0	0	0	0	0	0	0	0	0	0	0
45.000000	290.124	-43.254	0	0	0	0	0	0	0	0	0	0	0
46.000000	306.753	-51.2963	0	0	0	0	0	0	0	0	0	0	0
47.000000	328.086	-57.5037	0	0	0	0	0	0	0	0	0	0	0
48.000000	354.451	-60.4635	0	0	0	0	0	0	0	0	0	0	0
49.000000	21.9738	-59.1398	0	0	0	0	0	0	0	0	0	0	0
50.000000	45.4399	-54.0326	0	0	0	0	0	0	0	0	0	0	0
51.000000	63.7338	-46.566	0	0	0	0	0	0	0	0	0	0	0
52.000000	78.3361	-37.9178	0	0	0	0	0	0	0	0	0	0	0
53.000000	90.8066	-28.8187	0	0	0	0	0	0	0	0	0	0	0
54.000000	102.238	-19.7377	0	0	0	0	0	0	0	0	0	0	0
55.000000	113.368	-11.0334	0	0	0	0	0	0	0	0	0	0	0
56.000000	124.72	-3.03829	0	0	0	0	0	0	0	0	0	0	0
57.000000	136.666	3.899	0	0	0	0	0	0	0	0	0	0	0
58.000000	149.42	9.40332	0	1	0	0.539216	0.648148	0	1	0	1	1	1
59.000000	162.989	13.1004	0	1	0	0.539216	0.555556	0	1	0	0.84	0.84	0.84
