Time [h]	60 [---]	1 [---]	160 [---]	2 [---]	4 [---]	3 [---]
0	0.9	0.9	0	0	0	1
1	0.9	0.9	0	0	0	1
2	0.9	0.9	0	0	1	1
3	0.79	0.79	0	0	1	1
4	0.54	0.54	0.1152	0	1	1
5	0.25	0.25	0	0	1	1
6	0.04	0.04	0	0	1	1
7	0	0	0	0.24	1	1
8	0	0	0	0	0	0
9	0	0	0	0	0	0
10	0	0	0	0	0	0
11	0	0	0	0	0	0
12	0	0	0	0	0	0
13	0	0	0	0	0	0
14	0	0	0	0	0	0
15	0	0	0	0	0	0
16	0	0	0	0	0	0
17	0	0	0	0	0	0
18	0	0	0	0	0	0
19	0	0	0	0	0	0
20	0	0.6	0.088	0.6	1	0
21	0.24	0.65	0	0.41	1	0
22	0.54	0.72	0.1152	0.18	1	0.2
23	0.79	0.82	0	0.03	0.36	0.6
24	0	0	0	0	0	0
25	0.9	0.9	0	0	0	1
26	0.9	0.9	0	0	1	1
27	0.79	0.79	0	0	1	1
28	0.54	0.54	0.1152	0	1	1
29	0.25	0.25	0	0	1	1
30	0.04	0.04	0	0	1	1
31	0	0	0	0.24	1	1
32	0	0	0	0	0	0
33	0	0	0	0	0	0
34	0	0	0	0	0	0
35	0	0	0	0	0	0
36	0	0	0	0	0	0
37	0	0	0	0	0	0
38	0	0	0	0	0	0
39	0	0	0	0	0	0
40	0	0	0	0	0	0
41	0	0	0	0	0	0
42	0	0	0	0	0	0
43	0	0	0	0	0	0
44	0	0.6	0.088	0.6	1	0
45	0.24	0.65	0	0.41	1	0
46	0.54	0.72	0.1152	0.18	1	0.2
47	0.79	0.82	0	0.03	0.36	0.6
48	0	0	0	0	0	0
49	0.9	0.9	0	0	0	1
50	0.9	0.9	0	0	1	1
51	0.79	0.79	0	0	1	1
52	0.54	0.54	0.1152	0	1	1
53	0.25	0.25	0	0	1	1
54	0.04	0.04	0	0	1	1
55	0	0	0	0.24	1	1
56	0	0	0	0	0	0
57	0	0	0	0	0	0
58	0	0	0	0	0	0
59	0	0	0	0	0	0
60	0	0	0	0	0	0
61	0	0	0	0	0	0
62	0	0	0	0	0	0
63	0	0	0	0	0	0
64	0	0	0	0	0	0
65	0	0	0	0	0	0
66	0	0	0	0	0	0
67	0	0	0	0	0	0
68	0	0.6	0.088	0.6	1	0
69	0.24	0.65	0	0.41	1	0
70	0.54	0.72	0.1152	0.18	1	0.2
71	0.79	0.82	0	0.03	0.36	0.6
72	0	0	0	0	0	0
73	0.9	0.9	0	0	0	1
74	0.9	0.9	0	0	1	1
75	0.79	0.79	0	0	1	1
76	0.54	0.54	0.1152	0	1	1
77	0.25	0.25	0	0	1	1
78	0.04	0.04	0	0	1	1
79	0	0	0	0.24	1	1
80	0	0	0	0	0	0
81	0	0	0	0	0	0
82	0	0	0	0	0	0
83	0	0	0	0	0	0
84	0	0	0	0	0	0
85	0	0	0	0	0	0
86	0	0	0	0	0	0
87	0	0	0	0	0	0
88	0	0	0	0	0	0
89	0	0	0	0	0	0
90	0	0	0	0	0	0
91	0	0	0	0	0	0
92	0	0.6	0.088	0.6	1	0
93	0.24	0.65	0	0.41	1	0
94	0.54	0.72	0.1152	0.18	1	0.2
95	0.79	0.82	0	0.03	0.36	0.6
96	0	0	0	0	0	0
97	0.9	0.9	0	0	0	1
98	0.9	0.9	0	0	1	1
99	0.79	0.79	0	0	1	1
100	0.54	0.54	0.1152	0	1	1
101	0.25	0.25	0	0	1	1
102	0.04	0.04	0	0	1	1
103	0	0	0	0.24	1	1
104	0	0	0	0	0	0
105	0	0	0	0	0	0
106	0	0	0	0	0	0
107	0	0	0	0	0	0
108	0	0	0	0	0	0
109	0	0	0	0	0	0
110	0	0	0	0	0	0
111	0	0	0	0	0	0
112	0	0	0	0	0	0
113	0	0	0	0	0	0
114	0	0	0	0	0	0
115	0	0	0	0	0	0
116	0	0.6	0.088	0.6	1	0
117	0.24	0.65	0	0.41	1	0
118	0.54	0.72	0.1152	0.18	1	0.2
119	0.79	0.82	0	0.03	0.36	0.6
120	0	0	0	0	0	0
121	0.9	0.9	0	0	0	1
122	0.9	0.9	0	0	1	1
123	0.79	0.79	0	0	1	1
124	0.54	0.54	0.1152	0	1	1
125	0.25	0.25	0	0	1	1
126	0.04	0.04	0	0	1	1
127	0	0	0	0.24	1	1
128	0	0	0	0	0	0
129	0	0	0	0	0	0
130	0	0	0	0	0	0
131	0	0	0	0	0	0
132	0	0	0	0	0	0
133	0	0	0	0	0	0
134	0	0	0	0	0	0
135	0	0	0	0	0	0
136	0	0	0	0	0	0
137	0	0	0	0	0	0
138	0	0	0	0	0	0
139	0	0	0	0	0	0
140	0	0.6	0.088	0.6	1	0
141	0.24	0.65	0	0.41	1	0
142	0.54	0.72	0.1152	0.18	1	0.2
143	0.79	0.82	0	0.03	0.36	0.6
144	0	0	0	0	0	0
145	0.9	0.9	0	0	0	1
146	0.9	0.9	0	0	1	1
147	0.79	0.79	0	0	1	1
148	0.54	0.54	0.1152	0	1	1
149	0.25	0.25	0	0	1	1
150	0.04	0.04	0	0	1	1
151	0	0	0	0.24	1	1
152	0	0	0	0	0	0
153	0	0	0	0	0	0
154	0	0	0	0	0	0
155	0	0	0	0	0	0
156	0	0	0	0	0	0
157	0	0	0	0	0	0
158	0	0	0	0	0	0
159	0	0	0	0	0	0
160	0	0	0	0	0	0
161	0	0	0	0	0	0
162	0	0	0	0	0	0
163	0	0	0	0	0	0
164	0	0.6	0.088	0.6	1	0
165	0.24	0.65	0	0.41	1	0
166	0.54	0.72	0.1152	0.18	1	0.2
167	0.79	0.82	0	0.03	0.36	0.6
168	0	0	0	0	0	0
169	0.9	0.9	0	0	0	1
170	0.9	0.9	0	0	1	1
171	0.79	0.79	0	0	1	1
172	0.54	0.54	0.1152	0	1	1
173	0.25	0.25	0	0	1	1
174	0.04	0.04	0	0	1	1
175	0	0	0	0.24	1	1
176	0	0	0	0	0	0
177	0	0	0	0	0	0
178	0	0	0	0	0	0
179	0	0	0	0	0	0
180	0	0	0	0	0	0
181	0	0	0	0	0	0
182	0	0	0	0	0	0
183	0	0	0	0	0	0
184	0	0	0	0	0	0
185	0	0	0	0	0	0
186	0	0	0	0	0	0
187	0	0	0	0	0	0
188	0	0.6	0.088	0.6	1	0
189	0.24	0.65	0	0.41	1	0
190	0.54	0.72	0.1152	0.18	1	0.2
191	0.79	0.82	0	0.03	0.36	0.6
192	0	0	0	0	0	0
193	0.9	0.9	0	0	0	1
194	0.9	0.9	0	0	1	1
195	0.79	0.79	0	0	1	1
196	0.54	0.54	0.1152	0	1	1
197	0.25	0.25	0	0	1	1
198	0.04	0.04	0	0	1	1
199	0	0	0	0.24	1	1
200	0	0	0	0	0	0
201	0	0	0	0	0	0
202	0	0	0	0	0	0
203	0	0	0	0	0	0
204	0	0	0	0	0	0
205	0	0	0	0	0	0
206	0	0	0	0	0	0
207	0	0	0	0	0	0
208	0	0	0	0	0	0
209	0	0	0	0	0	0
210	0	0	0	0	0	0
211	0	0	0	0	0	0
212	0	0.6	0.088	0.6	1	0
213	0.24	0.65	0	0.41	1	0
214	0.54	0.72	0.1152	0.18	1	0.2
215	0.79	0.82	0	0.03	0.36	0.6
216	0	0	0	0	0	0
217	0.9	0.9	0	0	0	1
218	0.9	0.9	0	0	1	1
219	0.79	0.79	0	0	1	1
220	0.54	0.54	0.1152	0	1	1
221	0.25	0.25	0	0	1	1
222	0.04	0.04	0	0	1	1
223	0	0	0	0.24	1	1
224	0	0	0	0	0	0
225	0	0	0	0	0	0
226	0	0	0	0	0	0
227	0	0	0	0	0	0
228	0	0	0	0	0	0
229	0	0	0	0	0	0
230	0	0	0	0	0	0
231	0	0	0	0	0	0
232	0	0	0	0	0	0
233	0	0	0	0	0	0
234	0	0	0	0	0	0
235	0	0	0	0	0	0
236	0	0.6	0.088	0.6	1	0
237	0.24	0.65	0	0.41	1	0
238	0.54	0.72	0.1152	0.18	1	0.2
239	0.79	0.82	0	0.03	0.36	0.6
240	0	0	0	0	0	0
241	0.9	0.9	0	0	0	1
242	0.9	0.9	0	0	1	1
243	0.79	0.79	0	0	1	1
244	0.54	0.54	0.1152	0	1	1
245	0.25	0.25	0	0	1	1
246	0.04	0.04	0	0	1	1
247	0	0	0	0.24	1	1
248	0	0	0	0	0	0
249	0	0	0	0	0	0
250	0	0	0	0	0	0
251	0	0	0	0	0	0
252	0	0	0	0	0	0
253	0	0	0	0	0	0
254	0	0	0	0	0	0
255	0	0	0	0	0	0
256	0	0	0	0	0	0
257	0	0	0	0	0	0
258	0	0	0	0	0	0
259	0	0	0	0	0	0
260	0	0.6	0.088	0.6	1	0
261	0.24	0.65	0	0.41	1	0
262	0.54	0.72	0.1152	0.18	1	0.2
263	0.79	0.82	0	0.03	0.36	0.6
264	0	0	0	0	0	0
265	0.9	0.9	0	0	0	1
