Time [h]	Azimuth [Deg]	Altitude [Deg]	3 [---]
3552.000000	359.993	-18.5637	0
3552.166667	2.44716	-18.5283	0
3552.333333	4.898	-18.4243	0
3552.500000	7.34256	-18.2518	0
3552.666667	9.77784	-18.0115	0
3552.833333	12.201	-17.7041	0
3553.000000	14.6092	-17.3304	0
3553.166667	17	-16.8917	0
3553.333333	19.3711	-16.3891	0
3553.500000	21.7204	-15.824	0
3553.666667	24.046	-15.1981	0
3553.833333	26.3464	-14.513	0
3554.000000	28.6203	-13.7703	0
3554.166667	30.8666	-12.9721	0
3554.333333	33.0846	-12.1201	0
3554.500000	35.2738	-11.2164	0
3554.666667	37.4338	-10.2629	0
3554.833333	39.5648	-9.26159	0
3555.000000	41.6668	-8.21456	0
3555.166667	43.7403	-7.12381	0
3555.333333	45.786	-5.99134	0
3555.500000	47.8046	-4.81914	0
3555.666667	49.7971	-3.60917	0
3555.833333	51.7646	-2.36338	0
3556.000000	53.7083	-1.08365	0
3556.166667	55.6297	0.228144	1
3556.333333	57.5302	1.57018	1
3556.500000	59.4115	2.94068	1
3556.666667	61.2753	4.33789	1
3556.833333	63.1235	5.7601	1
3557.000000	64.958	7.20565	1
3557.166667	66.7807	8.67289	1
3557.333333	68.5939	10.1602	1
3557.500000	70.3997	11.6661	1
3557.666667	72.2005	13.1889	1
3557.833333	73.9987	14.7271	1
3558.000000	75.7969	16.2792	1
3558.166667	77.5977	17.8437	1
3558.333333	79.4039	19.419	1
3558.500000	81.2186	21.0037	1
3558.666667	83.0449	22.5962	1
3558.833333	84.886	24.1948	1
3559.000000	86.7456	25.7981	1
3559.166667	88.6273	27.4044	0.995
3559.333333	90.5352	29.0119	0.975
3559.500000	92.4736	30.6189	0.955
3559.666667	94.447	32.2236	0.935
3559.833333	96.4604	33.8239	0.915
3560.000000	98.5192	35.4177	0.895
3560.166667	100.629	37.0029	0.87
3560.333333	102.796	38.5771	0.845
3560.500000	105.027	40.1375	0.82
3560.666667	107.329	41.6815	0.79
3560.833333	109.71	43.206	0.755
3561.000000	112.178	44.7074	0.72
3561.166667	114.742	46.1823	0.68
3561.333333	117.41	47.6264	0.64
3561.500000	120.194	49.0354	0.59
3561.666667	123.103	50.4041	0.535
3561.833333	126.148	51.7273	0.475
3562.000000	129.337	52.9989	0.4
3562.166667	132.682	54.2125	0.315
3562.333333	136.19	55.3609	0.211775
3562.500000	139.869	56.4366	0.08235
3562.666667	143.722	57.4315	0
3562.833333	147.752	58.3373	0
3563.000000	151.956	59.1455	0
3563.166667	156.325	59.8475	0
3563.333333	160.846	60.4355	0
3563.500000	165.498	60.9019	0
3563.666667	170.255	61.2405	0
3563.833333	175.087	61.4467	0
3564.000000	179.957	61.5173	0
3564.166667	184.827	61.4514	0
3564.333333	189.66	61.2498	0
3564.500000	194.421	60.9156	0
3564.666667	199.077	60.4535	0
3564.833333	203.602	59.8697	0
3565.000000	207.976	59.1715	0
3565.166667	212.185	58.367	0
3565.333333	216.221	57.4647	0
3565.500000	220.081	56.4729	0
3565.666667	223.765	55.4002	0
3565.833333	227.279	54.2546	0
3566.000000	230.628	53.0437	0
3566.166667	233.823	51.7744	0
3566.333333	236.872	50.4535	0
3566.500000	239.785	49.0869	0
3566.666667	242.573	47.68	0
3566.833333	245.246	46.2377	0
3567.000000	247.814	44.7647	0
3567.166667	250.285	43.265	0
3567.333333	252.669	41.7423	0
3567.500000	254.974	40.2	0
3567.666667	257.207	38.6412	0
3567.833333	259.377	37.0687	0
3568.000000	261.489	35.4851	0
3568.166667	263.549	33.8928	0
3568.333333	265.565	32.2941	0
3568.500000	267.54	30.691	0
3568.666667	269.48	29.0856	0
3568.833333	271.389	27.4797	0
3569.000000	273.272	25.8751	0
3569.166667	275.133	24.2735	0
3569.333333	276.975	22.6765	0
