Time [h]	Azimuth [Deg]	Altitude [Deg]	60 [---]	1 [---]	160 [---]	2 [---]	4 [---]	3 [---]
3528.000000	0.021746	-18.7305	0	0	0	0	0	0
3528.166667	2.48097	-18.6942	0	0	0	0	0	0
3528.333333	4.93694	-18.5891	0	0	0	0	0	0
3528.500000	7.38656	-18.4155	0	0	0	0	0	0
3528.666667	9.82679	-18.1738	0	0	0	0	0	0
3528.833333	12.2547	-17.8649	0	0	0	0	0	0
3529.000000	14.6677	-17.4897	0	0	0	0	0	0
3529.166667	17.0631	-17.0492	0	0	0	0	0	0
3529.333333	19.4385	-16.5449	0	0	0	0	0	0
3529.500000	21.792	-15.978	0	0	0	0	0	0
3529.666667	24.1217	-15.3501	0	0	0	0	0	0
3529.833333	26.4259	-14.6629	0	0	0	0	0	0
3530.000000	28.7035	-13.9182	0	0	0	0	0	0
3530.166667	30.9533	-13.1179	0	0	0	0	0	0
3530.333333	33.1746	-12.2638	0	0	0	0	0	0
3530.500000	35.3669	-11.3578	0	0	0	0	0	0
3530.666667	37.5299	-10.4022	0	0	0	0	0	0
3530.833333	39.6637	-9.39869	0	0	0	0	0	0
3531.000000	41.7684	-8.34949	0	0	0	0	0	0
3531.166667	43.8444	-7.25658	0	0	0	0	0	0
3531.333333	45.8925	-6.12197	0	0	0	0	0	0
3531.500000	47.9134	-4.94766	0	0	0	0	0	0
3531.666667	49.9081	-3.73562	0	0	0	0	0	0
3531.833333	51.8776	-2.4878	0	0	0	0	0	0
3532.000000	53.8233	-1.2061	0	0	0	0	0	0
3532.166667	55.7467	0.10762	0	0	0	0	0	1
3532.333333	57.6491	1.45152	0	0	0	0	0	1
3532.500000	59.5322	2.82381	0	0	0	0	0	1
3532.666667	61.3978	4.22275	0	0	0	0	0	1
3532.833333	63.2477	5.64661	0	0	0	0	0	1
3533.000000	65.0839	7.09373	0	0	0	0	0	1
3533.166667	66.9084	8.56247	0	0	0	0	0	1
3533.333333	68.7233	10.0512	0	0	0	0	0	1
3533.500000	70.5308	11.5584	0	0	0	0	0	1
3533.666667	72.3334	13.0824	0	0	0	0	0	1
3533.833333	74.1334	14.6217	0	0	0	0	0	1
3534.000000	75.9333	16.1749	0	0	0	0	0	1
3534.166667	77.736	17.7403	0	0	0	0	0	1
3534.333333	79.5442	19.3164	0	0	0	0	0	1
3534.500000	81.3608	20.9018	0	0	0	0	0	1
3534.666667	83.1891	22.4949	0	0	0	0	0	1
3534.833333	85.0323	24.094	0	0	0	0	0	1
3535.000000	86.894	25.6976	0	0	0	0	0	1
3535.166667	88.778	27.3041	0	0	0	0	0	1
3535.333333	90.6881	28.9117	0.6975	0	1	0.3025	0	0.975
