                 Time [s]	     Steps	  RhsEvals	 LinSetups	  NIters	 NConvFails	  NErrFails	 Order	  StepSize [s]
           611.4073577364	        46	        59	        15	      58	          0	          2	     4	     74.804529
          1280.8794479679	        54	        68	        16	      67	          0	          2	     5	    145.840391
          1864.2410101370	        58	        73	        16	      72	          0	          2	     5	    145.840391
          2447.6025723061	        62	        77	        16	      76	          0	          2	     5	    145.840391
          3167.6427994028	        65	        85	        18	      84	          0	          3	     5	    191.232224
          3646.7202784611	        67	        88	        19	      87	          0	          3	     5	    287.845255
          4222.4107889892	        69	        91	        19	      90	          0	          3	     5	    287.845255
          5085.9465547813	        72	        94	        19	      93	          0	          3	     5	    287.845255
          5661.6370653094	        74	        96	        19	      95	          0	          3	     5	    287.845255
          6237.3275758375	        76	        98	        19	      97	          0	          3	     5	    287.845255
          6813.0180863655	        78	       100	        19	      99	          0	          3	     5	    287.845255
          7228.6355024019	        80	       107	        22	     106	          0	          5	     5	    149.997380
          7819.4335369113	        88	       122	        24	     121	          0	          7	     5	     69.361980
          8480.2539397187	        95	       130	        25	     129	          0	          7	     5	    104.419289
          9007.7272963128	        99	       134	        26	     133	          0	          7	     5	    159.317390
          9676.7451318090	       102	       137	        27	     136	          0	          7	     4	    254.850223
         10441.2958004329	       105	       140	        27	     139	          0	          7	     4	    254.850223
         10868.1497302316	       109	       151	        32	     150	          0	         10	     4	    105.144981
         11442.1059189691	       116	       161	        33	     160	          0	         11	     4	     72.733245
         12014.1308293479	       120	       166	        34	     165	          0	         11	     4	    143.006228
         12811.5078298390	       124	       170	        35	     169	          0	         11	     4	    218.123591
         13363.6563150278	       126	       172	        36	     171	          0	         11	     4	    334.024894
         14031.7061034745	       128	       174	        36	     173	          0	         11	     4	    334.024894
         14434.0023742062	       131	       181	        38	     180	          0	         13	     4	     34.135688
         15080.2113406980	       139	       191	        40	     190	          0	         13	     3	    140.253741
         15603.5348478820	       142	       194	        41	     193	          0	         13	     3	    242.816025
         16577.7558110138	       145	       199	        42	     198	          0	         13	     4	    488.588913
         17066.3447240670	       146	       201	        42	     200	          0	         13	     4	    488.588913
         17554.9336371203	       147	       202	        42	     201	          0	         13	     4	    488.588913
         18043.5225501735	       148	       203	        42	     202	          0	         13	     4	    488.588913
         18800.8007195016	       157	       216	        47	     215	          0	         15	     3	    213.850649
         19385.9506047317	       177	       257	        62	     256	          0	         21	     1	    192.635479
         19986.1532004372	       179	       259	        63	     258	          0	         21	     2	    407.567117
         21703.2069455676	       181	       262	        64	     261	          0	         21	     2	   1309.486628
         23012.6935738335	       182	       263	        64	     262	          0	         21	     2	   1309.486628
         24322.1802020994	       183	       264	        64	     263	          0	         21	     2	   1309.486628
         24795.5919820829	       184	       267	        65	     266	          0	         22	     2	    473.411780
         25269.0037620663	       185	       269	        65	     268	          0	         22	     2	    473.411780
         25845.3729537653	       188	       276	        66	     275	          0	         23	     2	    192.123064
         26546.9689508723	       191	       279	        67	     278	          0	         23	     2	    317.349869
         27379.7597020992	       193	       281	        68	     280	          0	         23	     3	    515.440882
         27895.2005840185	       194	       282	        68	     281	          0	         23	     3	    515.440882
         28352.6676244045	       196	       290	        71	     289	          1	         23	     3	    228.733520
         28801.5043291510	       236	       383	       108	     382	          2	         36	     3	     18.523360
         29412.8538313719	       250	       399	       110	     398	          2	         36	     4	     70.073408
         30111.6202294386	       257	       408	       111	     407	          2	         36	     5	    122.136544
         30600.1664047199	       261	       412	       111	     411	          2	         36	     5	    122.136544
         31306.5899768052	       265	       420	       113	     419	          2	         37	     5	    157.884031
         31990.9127135517	       268	       425	       114	     424	          2	         37	     5	    263.219353
         32423.9823041799	       270	       430	       115	     429	          2	         38	     5	    169.850238
         33053.3471095154	       277	       444	       117	     443	          2	         40	     5	     84.495238
         33603.1844261857	       282	       451	       118	     450	          2	         40	     5	    148.175801
         34344.0634306289	       287	       456	       118	     455	          2	         40	     5	    148.175801
         34842.7055947673	       289	       460	       119	     459	          2	         40	     5	    249.321082
         35590.6688409749	       292	       463	       119	     462	          2	         40	     5	    249.321082
         36089.3110051134	       294	       465	       119	     464	          2	         40	     5	    249.321082
         36652.7289096679	       297	       472	       120	     471	          2	         41	     5	    157.048411
         37280.9225546385	       301	       476	       120	     475	          2	         41	     5	    157.048411
         37909.1161996091	       305	       480	       120	     479	          2	         41	     5	    157.048411
         38545.9398776384	       308	       484	       121	     483	          2	         41	     5	    239.887633
         39025.7151444249	       310	       486	       121	     485	          2	         41	     5	    239.887633
         39659.7701292841	       313	       492	       122	     491	          2	         42	     5	    154.279718
         40224.0487781423	       318	       501	       123	     500	          2	         43	     5	    102.499733
         40839.0471743207	       324	       507	       123	     506	          2	         43	     5	    102.499733
         41413.0834019457	       328	       512	       124	     511	          2	         43	     5	    157.178832
         42000.3630080549	       351	       553	       134	     552	          2	         48	     4	      4.077356
         43036.8868785025	       363	       567	       139	     566	          2	         48	     2	    563.435501
         43230.5560377221	       364	       571	       140	     570	          2	         49	     2	    193.669159
         43918.6369406357	       370	       581	       142	     580	          2	         50	     2	    187.021034
         44414.1265457286	       372	       583	       143	     582	          2	         50	     3	    308.468571
         45292.7463246283	       374	       585	       144	     584	          2	         50	     3	    570.151208
         45862.8975323380	       375	       587	       144	     586	          2	         50	     3	    570.151208
         46433.0487400476	       376	       588	       144	     587	          2	         50	     3	    570.151208
         46971.6365485753	       378	       595	       146	     594	          2	         52	     3	    191.492368
         47422.9531256755	       382	       603	       147	     602	          2	         53	     3	    112.829144
         48044.4195501726	       385	       606	       149	     605	          2	         53	     3	    270.733938
         48734.8706273569	       387	       608	       150	     607	          2	         53	     3	    419.717140
         49574.3049066204	       389	       610	       150	     609	          2	         53	     3	    419.717140
         50233.9692399530	       390	       611	       151	     610	          2	         53	     3	    659.664333
         50893.6335732856	       391	       613	       151	     612	          2	         53	     3	    659.664333
         51289.4578830978	       392	       617	       152	     616	          2	         54	     3	    395.824310
         51685.2821929100	       393	       618	       152	     617	          2	         54	     3	    395.824310
         52476.9308125343	       395	       620	       152	     619	          2	         54	     3	    395.824310
         52872.7551223465	       396	       621	       152	     620	          2	         54	     3	    395.824310
         53611.5713957418	       397	       622	       153	     621	          2	         54	     3	    738.816273
         54350.3876691371	       398	       624	       153	     623	          2	         54	     3	    738.816273
         55089.2039425325	       399	       625	       153	     624	          2	         54	     3	    738.816273
         55828.0202159278	       400	       627	       153	     626	          2	         54	     3	    738.816273
         56566.8364893231	       401	       628	       153	     627	          2	         54	     3	    738.816273
         57305.6527627184	       402	       629	       153	     628	          2	         54	     3	    738.816273
         58044.4690361137	       403	       630	       153	     629	          2	         54	     3	    738.816273
         58783.2853095091	       404	       631	       153	     630	          2	         54	     3	    738.816273
         59522.1015829044	       405	       632	       153	     631	          2	         54	     3	    738.816273
         60260.9178562997	       406	       633	       153	     632	          2	         54	     3	    738.816273
         60999.7341296950	       407	       634	       153	     633	          2	         54	     3	    738.816273
