Variable name                                     	Source object id(s) 	Vector indexes/ids  
ConstructionInstance.FluxHeatConductionA          	101                 	
ConstructionInstance.SurfaceTemperatureA          	101                 	
Location.Temperature                              	0                   	
Model.CoolingControlValue                         	1001                	1                   
Model.HeatingControlValue                         	1001                	1                   
Model.IdealCoolingLoad                            	501                 	1                   
Model.IdealCoolingLoad                            	1001                	1                   
Model.IdealCoolingLoad                            	4001                	1                   
Model.IdealHeatingLoad                            	501                 	1                   
Model.IdealHeatingLoad                            	1001                	1                   
Model.IdealHeatingLoad                            	4001                	1                   
Model.ThermostatCoolingSetpoint                   	1001                	1                   
Model.ThermostatHeatingSetpoint                   	1001                	1                   
Model.VentilationHeatFlux                         	501                 	1                   
Zone.AirTemperature                               	1                   	
Zone.CoolingSetpointSchedule                      	1                   	
Zone.HeatingSetpointSchedule                      	1                   	
Zone.OperativeTemperature                         	1                   	
Zone.WindowSolarRadiationFluxSum                  	1                   	
