                 Time [s]	     Steps	  RhsEvals	 LinSetups	  NIters	 NConvFails	  NErrFails	 Order	  StepSize [s]
          1887.0082142466	       161	       225	        40	     224	          0	         10	     4	    187.146343
          3601.4772710574	       169	       244	        44	     243	          0	         13	     5	     15.510713
          5544.3405103990	       225	       328	        60	     327	          0	         19	     3	    194.830283
          7205.8637024174	       231	       341	        63	     340	          0	         21	     4	     28.550072
          9119.4489659188	       250	       370	        72	     369	          0	         23	     3	    429.082220
         10800.0030222219	       258	       391	        79	     390	          0	         28	     4	      9.611140
         12600.0446413907	       294	       475	       108	     474	          1	         42	     3	      0.081623
         14432.6664531006	       333	       525	       121	     524	          1	         43	     3	     59.842554
         16200.3197815653	       369	       602	       144	     601	          1	         56	     4	      0.456352
         18001.6793016262	       411	       673	       165	     672	          1	         65	     4	      2.330272
         19800.4946191722	       441	       736	       186	     735	          1	         76	     3	      0.551982
         21601.9096740637	       470	       783	       199	     782	          1	         80	     4	      5.258094
         23400.0406041190	       503	       860	       223	     859	          2	         92	     3	      0.056348
         25201.3325908358	       547	       928	       241	     927	          2	         99	     4	      2.314769
         27000.2001230352	       591	      1010	       267	    1009	          2	        110	     2	      4.265845
         28800.9820007150	       623	      1067	       284	    1066	          2	        117	     3	      4.852138
         30600.6536232336	       644	      1113	       301	    1112	          3	        122	     4	      3.031137
         32400.5069365870	       709	      1217	       328	    1216	          3	        134	     4	      1.463378
         34200.0669882848	       746	      1291	       350	    1290	          4	        144	     4	      0.103344
         36000.1080689600	       793	      1357	       365	    1356	          4	        148	     4	      8.750273
         37800.0121408302	       830	      1435	       388	    1434	          4	        160	     3	      0.074654
         39600.4517256585	       880	      1519	       410	    1518	          4	        168	     4	      2.811546
         41400.0340158065	       925	      1611	       440	    1610	          5	        183	     4	      0.034866
         43200.3443050402	       975	      1695	       463	    1694	          5	        192	     4	      4.299483
         45000.0028793911	      1008	      1759	       484	    1758	          5	        202	     3	      0.033461
         46802.6285015815	      1053	      1833	       506	    1832	          5	        210	     4	      5.232007
         48600.0210565221	      1076	      1883	       521	    1882	          6	        218	     4	      0.034701
         50400.5097088469	      1133	      1977	       551	    1976	          6	        229	     4	      1.165419
         52200.0079314766	      1171	      2052	       575	    2051	          8	        237	     4	      0.436106
         54000.0095389956	      1238	      2158	       600	    2157	          8	        248	     4	      1.368501
         55800.0058618387	      1290	      2259	       633	    2258	          9	        264	     4	      0.006617
         57600.3543907918	      1351	      2346	       651	    2345	          9	        269	     5	      1.216224
         59400.2617171569	      1400	      2430	       672	    2429	          9	        278	     3	      1.445915
         61200.0701931468	      1453	      2538	       711	    2537	          9	        295	     3	      1.069052
         63000.0786070329	      1482	      2601	       730	    2600	          9	        304	     4	      1.576202
         64800.0718608191	      1526	      2675	       752	    2674	          9	        312	     4	      5.800339
         66600.7469302203	      1558	      2732	       768	    2731	          9	        319	     3	      1.787231
         68400.5785598973	      1588	      2782	       785	    2781	          9	        326	     3	      0.602924
         70200.0294811869	      1621	      2848	       809	    2847	          9	        337	     3	      0.080849
         72001.1287906828	      1656	      2896	       824	    2895	          9	        340	     4	     10.655371
         73800.0615842362	      1685	      2961	       844	    2960	          9	        351	     3	      0.239896
         75604.8374731035	      1717	      3011	       857	    3010	          9	        355	     4	      6.000465
         77561.3923833895	      1739	      3048	       866	    3047	          9	        358	     3	    316.169402
         79203.0503869867	      1749	      3070	       872	    3069	          9	        363	     3	      5.030284
         81273.7141140093	      1767	      3099	       880	    3098	          9	        365	     3	    420.225777
         82800.0109912956	      1775	      3119	       886	    3118	          9	        370	     3	      1.508308
         84850.1015944537	      1797	      3148	       896	    3147	          9	        371	     3	    311.129509
         86403.9614819795	      1804	      3167	       901	    3166	          9	        375	     4	      6.370581
         88460.4311166096	      1822	      3195	       910	    3194	          9	        377	     3	    431.779215
         90000.0140759906	      1836	      3234	       925	    3233	          9	        387	     3	      1.042159
         91846.0990372825	      1859	      3269	       933	    3268	          9	        388	     4	    233.693790
         93600.6917507514	      1866	      3294	       942	    3293	         10	        392	     3	      2.534958
         95400.7897456477	      1892	      3345	       958	    3344	         10	        399	     3	      1.709284
         97200.7846334004	      1917	      3383	       969	    3382	         10	        402	     3	     14.774036
         99000.0958086729	      1946	      3441	       989	    3440	         10	        412	     3	      0.133794
        100801.8802376129	      1990	      3513	      1012	    3512	         10	        421	     4	      2.195042
        102600.0928477043	      2034	      3602	      1041	    3601	         10	        436	     3	      0.310580
        104400.3421050202	      2074	      3666	      1058	    3665	         10	        442	     4	      0.977295
        106200.0569522938	      2105	      3719	      1075	    3718	         10	        449	     4	      1.029008
        108007.9018209944	      2135	      3766	      1088	    3765	         10	        453	     4	     45.787349
        109800.0577462793	      2163	      3828	      1105	    3827	         10	        464	     3	      0.332002
        111601.6021609126	      2199	      3886	      1122	    3885	         10	        470	     3	      4.855920
        113400.0494875476	      2243	      3979	      1152	    3978	         10	        484	     2	      0.551412
        115236.2856915448	      2273	      4018	      1163	    4017	         10	        485	     3	    167.372619
        117000.1467633617	      2287	      4061	      1179	    4060	         10	        495	     4	      0.162911
        118880.9461219994	      2325	      4113	      1191	    4112	         10	        496	     4	    218.683138
        120600.0352552090	      2339	      4150	      1203	    4149	         10	        504	     4	      0.273271
        122400.9578377278	      2383	      4223	      1223	    4222	         10	        512	     4	      1.615074
        124200.0070111666	      2416	      4290	      1243	    4289	         11	        522	     4	      0.023178
        126000.3630924921	      2480	      4390	      1274	    4389	         11	        533	     4	      0.703450
        127800.0035595501	      2521	      4464	      1296	    4463	         12	        541	     4	      0.165023
        129600.0515308367	      2607	      4600	      1327	    4599	         12	        554	     4	      0.416617
        131400.0221340419	      2661	      4722	      1366	    4721	         16	        568	     4	      0.038577
        133200.3777092577	      2721	      4824	      1396	    4823	         16	        581	     5	      0.554609
        135000.0031494533	      2769	      4913	      1422	    4912	         17	        593	     4	      0.045742
        136800.0776312056	      2826	      5010	      1447	    5009	         17	        603	     4	      1.574635
        138600.0177079545	      2873	      5110	      1480	    5109	         18	        618	     3	      0.028195
        140400.9115332158	      2924	      5188	      1502	    5187	         18	        625	     4	      1.758955
        142200.0242430313	      2987	      5311	      1534	    5310	         19	        639	     3	      0.034126
        144000.7861978270	      3037	      5377	      1551	    5376	         19	        642	     5	     20.299911
        145800.0045505092	      3077	      5446	      1576	    5445	         19	        653	     4	      0.078503
        147600.3445308758	      3154	      5574	      1617	    5573	         19	        669	     3	      1.576868
        149400.1498907493	      3182	      5629	      1635	    5628	         20	        676	     3	      0.213157
        151202.1938778214	      3218	      5683	      1650	    5682	         20	        681	     4	      4.217286
        153000.1165714811	      3245	      5732	      1663	    5731	         20	        687	     3	      0.917446
        154800.0440693145	      3281	      5792	      1678	    5791	         20	        693	     3	      2.246273
