Time [h]	ConstructionInstance(id=2).FluxShortWaveRadiationA [W]	ConstructionInstance(id=11).FluxShortWaveRadiationA [W]	ConstructionInstance(id=2).FluxShortWaveRadiationB [W]	ConstructionInstance(id=11).FluxShortWaveRadiationB [W]	ConstructionInstance(id=2).SolarRadiationFluxA [W/m2]	ConstructionInstance(id=11).SolarRadiationFluxA [W/m2]	ConstructionInstance(id=2).SolarRadiationFluxB [W/m2]	ConstructionInstance(id=11).SolarRadiationFluxB [W/m2]
3840	0	0	0	0	0	0	0	0
3840.5	0	0	0	0	0	0	0	0
3841	0	0	0	0	0	0	0	0
3841.5	0	0	0	0	0	0	0	0
3842	0	0	0	0	0	0	0	0
3842.5	0	0	0	0	0	0	0	0
3843	0	0	0	0	0	0	0	0
3843.5	0	0	0	0	0	0	0	0
3844	12.7286	2.12143	35.64	5.94	0	0	5.94	5.94
3844.5	25.4572	4.24286	71.28	11.88	0	0	11.88	11.88
3845	27.7714	4.62857	77.76	12.96	0	0	12.96	12.96
3845.5	30.0857	5.01429	84.24	14.04	0	0	14.04	14.04
3846	35.6141	5.93568	99.7194	16.6199	0	0	16.6199	16.6199
3846.5	41.2106	6.86844	115.39	19.2316	0	0	19.2316	19.2316
3847	74.3933	12.3989	208.301	34.7169	0	0	34.7169	34.7169
3847.5	107.606	17.9344	301.297	50.2162	0	0	50.2162	50.2162
3848	137.03	22.8383	383.683	63.9471	0	0	63.9471	63.9471
3848.5	166.302	27.7171	465.647	77.6078	0	0	77.6078	77.6078
3849	228.258	38.0431	639.123	106.521	0	0	106.521	106.521
3849.5	292.297	48.7161	818.431	136.405	0	0	136.405	136.405
3850	308.102	51.3503	862.685	143.781	0	0	143.781	143.781
3850.5	325.945	54.3241	912.645	152.107	0	0	152.107	152.107
3851	285.686	47.6143	799.92	133.32	0	0	133.32	133.32
3851.5	242.533	40.4222	679.092	113.182	0	0	113.182	113.182
3852	227.578	37.9296	637.217	106.203	0	0	106.203	106.203
3852.5	212.503	35.4172	595.009	99.1681	0	0	99.1681	99.1681
3853	233.166	38.861	652.866	108.811	0	0	108.811	108.811
3853.5	253.334	42.2223	709.334	118.222	0	0	118.222	118.222
3854	333.691	55.6152	934.336	155.723	0	0	155.723	155.723
3854.5	399.809	66.6348	1119.47	186.578	0	0	186.578	186.578
3855	222.012	37.0021	621.635	103.606	0	0	103.606	103.606
3855.5	61.9346	10.3224	173.417	28.9028	0	0	28.9028	28.9028
3856	67.7001	11.2834	189.56	31.5934	0	0	31.5934	31.5934
3856.5	73.3061	12.2177	205.257	34.2095	0	0	34.2095	34.2095
3857	74.1254	12.3542	207.551	34.5919	0	0	34.5919	34.5919
3857.5	75.288	12.548	210.806	35.1344	0	0	35.1344	35.1344
3858	58.7255	9.78758	164.431	27.4052	0	0	27.4052	27.4052
3858.5	41.9291	6.98818	117.401	19.5669	0	0	19.5669	19.5669
3859	27.3632	4.56053	76.6169	12.7695	0	0	12.7695	12.7695
3859.5	13.1143	2.18572	36.72	6.12	0	0	6.12	6.12
3860	6.55715	1.09286	18.36	3.06	0	0	3.06	3.06
3860.5	0	0	0	0	0	0	0	0
3861	0	0	0	0	0	0	0	0
3861.5	0	0	0	0	0	0	0	0
3862	0	0	0	0	0	0	0	0
3862.5	0	0	0	0	0	0	0	0
3863	0	0	0	0	0	0	0	0
3863.5	0	0	0	0	0	0	0	0
3864	0	0	0	0	0	0	0	0
3864.5	0	0	0	0	0	0	0	0
3865	0	0	0	0	0	0	0	0
3865.5	0	0	0	0	0	0	0	0
3866	0	0	0	0	0	0	0	0
3866.5	0	0	0	0	0	0	0	0
3867	1.15714	0.192857	3.24	0.54	0	0	0.54	0.54
3867.5	2.31429	0.385714	6.48	1.08	0	0	1.08	1.08
3868	15.0429	2.50714	42.12	7.02	0	0	7.02	7.02
3868.5	28.2267	4.70445	79.0347	13.1724	0	0	13.1724	13.1724
3869	54.3252	9.0542	152.11	25.3517	0	0	25.3517	25.3517
3869.5	80.1873	13.3646	224.524	37.4207	0	0	37.4207	37.4207
3870	107.614	17.9357	301.321	50.2201	0	0	50.2201	50.2201
3870.5	135.335	22.5558	378.937	63.1562	0	0	63.1562	63.1562
3871	155.007	25.8346	434.021	72.3368	0	0	72.3368	72.3368
3871.5	174.308	29.0513	488.062	81.3436	0	0	81.3436	81.3436
3872	188.124	31.3539	526.746	87.791	0	0	87.791	87.791
3872.5	201.749	33.6248	564.897	94.1495	0	0	94.1495	94.1495
3873	229.201	38.2001	641.762	106.96	0	0	106.96	106.96
3873.5	257.879	42.9798	722.061	120.343	0	0	120.343	120.343
3874	271.659	45.2766	760.646	126.774	0	0	126.774	126.774
3874.5	286.01	47.6684	800.829	133.471	0	0	133.471	133.471
3875	427.864	71.3107	1198.02	199.67	0	0	199.67	199.67
3875.5	575.309	95.8849	1610.87	268.478	0	0	268.478	268.478
3876	445.892	74.3154	1248.5	208.083	0	0	208.083	208.083
3876.5	312.958	52.1597	876.283	146.047	0	0	146.047	146.047
3877	368.67	61.445	1032.28	172.046	0	0	172.046	172.046
3877.5	419.065	69.8441	1173.38	195.563	0	0	195.563	195.563
3878	388.321	64.7201	1087.3	181.216	0	0	181.216	181.216
3878.5	354.858	59.143	993.603	165.6	0	0	165.6	165.6
3879	226.452	37.742	634.066	105.678	0	0	105.678	105.678
3879.5	112.846	18.8077	315.969	52.6615	0	0	52.6615	52.6615
3880	114.534	19.089	320.696	53.4493	0	0	53.4493	53.4493
3880.5	114.113	19.0188	319.516	53.2527	0	0	53.2527	53.2527
3881	92.7713	15.4619	259.76	43.2933	0	0	43.2933	43.2933
3881.5	72.9753	12.1625	204.331	34.0551	0	0	34.0551	34.0551
3882	68.0192	11.3365	190.454	31.7423	0	0	31.7423	31.7423
3882.5	62.9946	10.4991	176.385	29.3975	0	0	29.3975	29.3975
3883	45.3062	7.55103	126.857	21.1429	0	0	21.1429	21.1429
3883.5	27.7714	4.62857	77.76	12.96	0	0	12.96	12.96
3884	13.8857	2.31429	38.88	6.48	0	0	6.48	6.48
3884.5	0	0	0	0	0	0	0	0
3885	0	0	0	0	0	0	0	0
3885.5	0	0	0	0	0	0	0	0
3886	0	0	0	0	0	0	0	0
3886.5	0	0	0	0	0	0	0	0
3887	0	0	0	0	0	0	0	0
3887.5	0	0	0	0	0	0	0	0
3888	0	0	0	0	0	0	0	0
3888.5	0	0	0	0	0	0	0	0
3889	0	0	0	0	0	0	0	0
3889.5	0	0	0	0	0	0	0	0
3890	0	0	0	0	0	0	0	0
3890.5	0	0	0	0	0	0	0	0
