Time [h]	ConstructionInstance(id=2).SurfaceTemperatureA [C]	ConstructionInstance(id=11).SurfaceTemperatureA [C]	ConstructionInstance(id=2).SurfaceTemperatureB [C]	ConstructionInstance(id=11).SurfaceTemperatureB [C]
3840	20	20	20	20
3840.5	18.729	18.729	17.9796	17.9796
3841	17.7981	17.7981	17.25	17.25
3841.5	17.0303	17.0303	16.7246	16.7246
3842	16.3843	16.3843	16.2977	16.2977
3842.5	15.827	15.827	15.9205	15.9205
3843	15.3349	15.3349	15.5747	15.5747
3843.5	14.921	14.921	15.3068	15.3068
3844	15.0802	15.0802	15.1977	15.1977
3844.5	16.0411	16.0411	15.1973	15.1973
3845	17.1718	17.1718	15.1706	15.1706
3845.5	18.2165	18.2165	15.1803	15.1803
3846	19.3547	19.3547	15.255	15.255
3846.5	20.6352	20.6352	15.3326	15.3326
3847	23.0833	23.0833	15.6373	15.6373
3847.5	27.1943	27.1943	16.1534	16.1534
3848	32.4552	32.4552	16.767	16.767
3848.5	38.538	38.538	17.4685	17.4685
3849	46.5509	46.5509	18.5095	18.5095
3849.5	57.0807	57.0807	19.8754	19.8754
3850	67.7617	67.7617	21.0562	21.0562
3850.5	77.3779	77.3779	22.0574	22.0574
3851	84.0476	84.0476	22.5235	22.5235
3851.5	86.6918	86.6918	22.5061	22.5061
3852	87.2235	87.2235	22.4433	22.4433
3852.5	86.8335	86.8335	22.4042	22.4042
3853	87.0397	87.0397	22.6419	22.6419
3853.5	88.6055	88.6055	23.0666	23.0666
3854	93.5675	93.5675	24.0838	24.0838
3854.5	102.254	102.254	25.5334	25.5334
3855	103.819	103.819	25.2176	25.2176
3855.5	94.0671	94.0671	23.344	23.344
3856	82.611	82.611	21.978	21.978
3856.5	74.1007	74.1007	21.3046	21.3046
3857	67.5034	67.5034	20.9011	20.9011
3857.5	62.3222	62.3222	20.7329	20.7329
3858	57.6227	57.6227	20.5737	20.5737
3858.5	52.7824	52.7824	20.2876	20.2876
3859	47.9042	47.9042	19.943	19.943
3859.5	43.0539	43.0539	19.5306	19.5306
3860	38.5142	38.5142	19.1282	19.1282
3860.5	34.4117	34.4117	18.7252	18.7252
3861	30.8936	30.8936	18.3626	18.3626
3861.5	28.0181	28.0181	18.0449	18.0449
3862	25.6496	25.6496	17.7483	17.7483
3862.5	23.6737	23.6737	17.4392	17.4392
3863	22.0052	22.0052	17.1187	17.1187
3863.5	20.5946	20.5946	16.8117	16.8117
3864	19.3983	19.3983	16.5128	16.5128
3864.5	18.3841	18.3841	16.2367	16.2367
3865	17.5232	17.5232	15.9752	15.9752
3865.5	16.7527	16.7527	15.6578	15.6578
3866	16.0337	16.0337	15.3001	15.3001
3866.5	15.3829	15.3829	14.97	14.97
3867	14.8485	14.8485	14.6684	14.6684
3867.5	14.4499	14.4499	14.4082	14.4082
3868	14.616	14.616	14.2692	14.2692
3868.5	15.5585	15.5585	14.2441	14.2441
3869	17.629	17.629	14.3954	14.3954
3869.5	20.9413	20.9413	14.7157	14.7157
3870	25.2925	25.2925	15.1597	15.1597
3870.5	30.5377	30.5377	15.708	15.708
3871	36.2051	36.2051	16.2714	16.2714
3871.5	41.9779	41.9779	16.8275	16.8275
3872	47.6335	47.6335	17.3525	17.3525
3872.5	53.056	53.056	17.8662	17.8662
3873	58.8323	58.8323	18.4978	18.4978
3873.5	65.3106	65.3106	19.2329	19.2329
3874	71.7802	71.7802	19.9132	19.9132
3874.5	77.8393	77.8393	20.4808	20.4808
3875	88.4943	88.4943	22.0255	22.0255
3875.5	106.509	106.509	24.5632	24.5632
3876	119.652	119.652	25.431	25.431
3876.5	121.398	121.398	24.7305	24.7305
3877	121.761	121.761	24.7566	24.7566
3877.5	125.795	125.795	25.4404	25.4404
3878	129.098	129.098	25.7323	25.7323
3878.5	129.704	129.704	25.9005	25.9005
3879	124.537	124.537	25.2712	25.2712
3879.5	112.817	112.817	23.8638	23.8638
3880	100.899	100.899	22.9449	22.9449
3880.5	91.6354	91.6354	22.4844	22.4844
3881	83.387	83.387	22.044	22.044
3881.5	75.4705	75.4705	21.5648	21.5648
3882	68.4306	68.4306	21.182	21.182
3882.5	62.4619	62.4619	20.8494	20.8494
3883	56.8185	56.8185	20.4272	20.4272
3883.5	51.0949	51.0949	19.9022	19.9022
3884	45.4658	45.4658	19.3409	19.3409
3884.5	40.0071	40.0071	18.7525	18.7525
3885	35.2145	35.2145	18.248	18.248
3885.5	31.3352	31.3352	17.8519	17.8519
3886	28.1753	28.1753	17.5126	17.5126
3886.5	25.5885	25.5885	17.2083	17.2083
3887	23.4624	23.4624	16.9254	16.9254
3887.5	21.6985	21.6985	16.6415	16.6415
3888	20.2211	20.2211	16.3561	16.3561
3888.5	18.9601	18.9601	16.0428	16.0428
3889	17.8642	17.8642	15.7098	15.7098
3889.5	16.9378	16.9378	15.4356	15.4356
3890	16.1715	16.1715	15.2028	15.2028
3890.5	15.5359	15.5359	14.9976	14.9976
3891	15.0077	15.0077	14.8115	14.8115
3891.5	14.5623	14.5623	14.6321	14.6321
3892	14.9301	14.9301	14.6159	14.6159
3892.5	16.458	16.458	14.746	14.746
3893	18.4251	18.4251	14.866	14.866
3893.5	20.4304	20.4304	14.9579	14.9579
3894	23.6454	23.6454	15.2899	15.2899
3894.5	28.7059	28.7059	15.8716	15.8716
3895	35.7547	35.7547	16.7121	16.7121
3895.5	44.7026	44.7026	17.7635	17.7635
3896	55.0151	55.0151	18.9291	18.9291
3896.5	66.1349	66.1349	20.1777	20.1777
3897	73.1689	73.1689	20.5186	20.5186
3897.5	73.292	73.292	19.9594	19.9594
3898	71.1438	71.1438	19.5959	19.5959
